批准文号/注册证号（字符型）,可见光通信系统名称（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称（字符型）,是否通过一致性（字符型）,可见光通信系统类型（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,
2023-001,光速通V1,100Mbps,奥为科技（南京）有限公司,2023-09-15,南京市市场监督管理局,奥为科技（南京）有限公司,是,室内通信系统,三个皮匠报告,https://m.sgpjbg.com/info/ac60fcb7df38cce5c674c4cd350f9d3c.html,2023-10-18,,,,,,,,
2023-002,LIFI智能灯,200Mbps,深圳光电科技有限公司,2023-08-20,深圳市市场监督管理局,深圳光电科技有限公司,是,智能照明系统,DUTE新闻,https://m.dutenews.com/n/article/7289076,2023-10-18,,,,,,,,
2023-003,水下光通信系统,50Mbps,北京海洋科技有限公司,2023-07-10,北京市市场监督管理局,北京海洋科技有限公司,否,水下通信系统,中国之光网,http://www.cali-light.com/index.php/index/index/newsart/id/23401.html,2023-10-18,,,,,,,,
2023-004,智能家居LIFI系统,150Mbps,上海智能科技股份有限公司,2023-06-05,上海市市场监督管理局,上海智能科技股份有限公司,是,家庭通信系统,前瞻产业研究院,https://finance.sina.cn/2023-09-22/detail-imznqhsm5618846.d.html,2023-10-18,,,,,,,,
2023-005,教育可见光通信系统,300Mbps,广州教育科技有限公司,2023-05-15,广州市市场监督管理局,广州教育科技有限公司,是,教育领域应用,三个皮匠报告,https://m.sgpjbg.com/info/ac60fcb7df38cce5c674c4cd350f9d3c.html,2023-10-18,,,,,,,,
2023-006,室外光通信网络,120Mbps,天津新光科技有限公司,2023-10-01,天津市市场监督管理局,天津新光科技有限公司,是,室外通信系统,技术前沿杂志,https://www.techfrontiermag.com,2023-10-18,,,,,,,,
2023-007,智能医疗光通信系统,250Mbps,杭州医疗科技有限公司,2023-09-20,杭州市市场监督管理局,杭州医疗科技有限公司,是,医疗应用系统,中国现代医疗网,http://www.modernhealthcare.cn,2023-10-18,,,,,,,,
2023-008,公共安全光通信系统,100Mbps,重庆安防科技有限公司,2023-08-15,重庆市市场监督管理局,重庆安防科技有限公司,否,安全通信系统,安防技术网,http://www.securitytech.com,2023-10-18,,,,,,,,
2023-009,企业级LIFI系统,400Mbps,北京智慧办公科技有限公司,2023-07-30,北京市市场监督管理局,北京智慧办公科技有限公司,是,企业通信系统,中关村在线,https://www.zol.com.cn,2023-10-18,,,,,,,,
2023-010,高速光计算平台,750Mbps,广州未来科技有限公司,2023-06-25,广州市市场监督管理局,广州未来科技有限公司,是,计算和数据传输,未来科技新闻,https://www.futuretechnews.com,2023-10-18,,,,,,,,
2023-011,环保型LIFI系统,300Mbps,苏州生态科技有限公司,2023-05-10,苏州市市场监督管理局,苏州生态科技有限公司,是,环保应用,环保科技资讯,http://www.envirotechnews.com,2023-10-18,,,,,,,,
2023-012,港口光通信系统,180Mbps,大连港口科技股份有限公司,2023-04-18,大连市市场监督管理局,大连港口科技股份有限公司,是,物流系统,中国物流网,https://www.chinalogistics.com,2023-10-18,,,,,,,,
2023-013,光学传感监测系统,350Mbps,福州光电子科技有限公司,2023-03-15,福州市市场监督管理局,福州光电子科技有限公司,是,监测与传感,光通信技术论坛,https://www.lightcommforum.com,2023-10-18,,,,,,,,
2023-014,智能教育光通信系统,450Mbps,成都教育科技有限公司,2023-02-20,成都市市场监督管理局,成都教育科技有限公司,是,教育领域应用,中国教育技术协会,http://www.cet.com,2023-10-18,,,,,,,,
2023-015,智能交通光通信系统,600Mbps,武汉交通科技股份有限公司,2023-01-05,武汉市市场监督管理局,武汉交通科技股份有限公司,是,交通通信系统,交通运输技术网,https://www.transporttech.com,2023-10-18,,,,,,,,
2023-006,超宽带LIFI,500Mbps,杭州未来科技有限公司,2023-10-01,杭州市市场监督管理局,杭州未来科技有限公司,是,超宽带通信系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,工业LIFI系统,400Mbps,成都宏图科技有限公司,2023-09-18,成都市市场监督管理局,成都宏图科技有限公司,否,工业环境应用,中国工业报,https://www.chinaindustrialnews.com/,2023-10-18,,,,,,,,
2023-008,医疗LIFI系统,250Mbps,上海医疗仪器技术有限公司,2023-08-15,上海市市场监督管理局,上海医疗仪器技术有限公司,是,医疗设备通信,健康报,http://www.jkb.com/,2023-10-18,,,,,,,,
2023-009,智慧城市LIFI,350Mbps,广州城市科技发展有限公司,2023-10-12,广州市市场监督管理局,广州城市科技发展有限公司,是,城市基础设施通信,前瞻网,https://www.qianzhan.com/,2023-10-18,,,,,,,,
2023-010,智能办公LIFI,300Mbps,北京现代技术有限公司,2023-09-05,北京市市场监督管理局,北京现代技术有限公司,否,办公室环境通信,腾讯科技,https://tech.qq.com/,2023-10-18,,,,,,,,
2023-011,智慧教育LIFI,450Mbps,南京教育科技有限公司,2023-08-25,南京市市场监督管理局,南京教育科技有限公司,是,教育领域应用,教育观察,https://www.jiaoyu.com/,2023-10-18,,,,,,,,
2023-012,安全监控LIFI系统,100Mbps,深圳安防科技有限公司,2023-10-14,深圳市市场监督管理局,深圳安防科技有限公司,是,安防领域应用,安防网,https://www.safeguard.com/,2023-10-18,,,,,,,,
2023-013,户外LIFI通信系统,600Mbps,西安户外技术有限公司,2023-07-30,西安市市场监督管理局,西安户外技术有限公司,是,户外通信系统,户外装备网,https://www.outdoorgear.com/,2023-10-18,,,,,,,,
2023-014,地铁LIFI系统,550Mbps,天津交通科技有限公司,2023-08-08,天津市市场监督管理局,天津交通科技有限公司,否,地铁运输通信,交通运输部网站,http://www.mot.gov.cn/,2023-10-18,,,,,,,,
2023-006,绿光网络系统,250Mbps,杭州绿色科技有限公司,2023-09-10,杭州市市场监督管理局,杭州绿色科技有限公司,是,城市公共信息系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,光影照明系统,400Mbps,江苏光电科技股份有限公司,2023-08-05,江苏省市场监督管理局,江苏光电科技股份有限公司,是,商业照明系统,新华网,http://www.xinhuanet.com/,2023-10-18,,,,,,,,
2023-008,车联网LIFI解决方案,500Mbps,重庆车联科技有限公司,2023-10-01,重庆市市场监督管理局,重庆车联科技有限公司,是,车联网系统,车云网,http://www.cheyun.com/,2023-10-18,,,,,,,,
2023-009,医疗行业LIFI系统,350Mbps,广州医疗科技有限公司,2023-06-20,广州市市场监督管理局,广州医疗科技有限公司,是,医院无线通信系统,健康时报,http://www.jksb.com.cn/,2023-10-18,,,,,,,,
2023-010,智能办公LIFI系统,450Mbps,成都智慧科技有限公司,2023-07-15,成都市市场监督管理局,成都智慧科技有限公司,是,办公环境通信系统,互联网观察,http://www.internetobservation.com/,2023-10-18,,,,,,,,
2023-011,LIFI校园应用系统,300Mbps,武汉教育科技有限公司,2023-08-30,武汉市市场监督管理局,武汉教育科技有限公司,是,学校无线网络系统,教育部官网,http://www.moe.gov.cn/,2023-10-18,,,,,,,,
2023-012,环境监测光通信系统,200Mbps,杭州环境科技有限公司,2023-09-05,杭州市市场监督管理局,杭州环境科技有限公司,是,环境监测系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-013,光通信防灾预警系统,100Mbps,北京 安全科技有限公司,2023-07-22,北京市市场监督管理局,北京 安全科技有限公司,否,防灾预警系统,安全科技网,http://www.safetytech.com/,2023-10-18,,,,,,,,
2023-014,按需光缓存系统,550Mbps,深圳云计算科技有限公司,2023-08-12,深圳市市场监督管理局,深圳云计算科技有限公司,是,数据中心应用,云计算新视角,http://www.cloudcomputingnews.com/,2023-10-18,,,,,,,,
2023-006,光连接博派O-Comm,250Mbps,博派科技（北京）有限公司,2023-10-05,北京市市场监督管理局,博派科技（北京）有限公司,是,室内通信系统,光通信前沿,https://www.photonics.com/,2023-10-18,,,,,,,,
2023-007,校园智能LIFI系统,500Mbps,武汉未来科技有限公司,2023-08-30,武汉市市场监督管理局,武汉未来科技有限公司,是,教育领域应用,中国教育科技网,http://www.chinaedtech.com/,2023-10-18,,,,,,,,
2023-008,光能连接家庭系统,120Mbps,厦门光电科技股份有限公司,2023-07-15,厦门市市场监督管理局,厦门光电科技股份有限公司,是,家庭通信系统,家居科技新闻,https://www.home-tech.com/,2023-10-18,,,,,,,,
2023-009,交通智能光通信系统,250Mbps,南京交通光电科技有限公司,2023-09-22,南京市市场监督管理局,南京交通光电科技有限公司,是,公共交通通信系统,交通管理局报告,http://www.jtg.gov.cn/,2023-10-18,,,,,,,,
2023-010,高空光通信系统,420Mbps,西安航天科技有限公司,2023-06-01,西安市市场监督管理局,西安航天科技有限公司,是,高空通信系统,航空航天网,https://www.aerospace.com/,2023-10-18,,,,,,,,
2023-011,智能医疗可见光通信系统,350Mbps,深圳医疗科技有限公司,2023-05-19,深圳市市场监督管理局,深圳医疗科技有限公司,否,医疗领域应用,医疗信息网,http://www.medinfo.com/,2023-10-18,,,,,,,,
2023-012,光智家居系统,180Mbps,广州光电创新有限公司,2023-04-15,广州市市场监督管理局,广州光电创新有限公司,是,家庭通信系统,智能家居观察,http://www.smarthome.com/,2023-10-18,,,,,,,,
2023-013,海洋光通信系统,400Mbps,青岛海洋科技有限公司,2023-03-30,青岛市市场监督管理局,青岛海洋科技有限公司,是,海洋通信系统,海洋与水域科技期刊,http://www.oceanmarine.com/,2023-10-18,,,,,,,,
2023-014,航天探测光通信系统,600Mbps,航天科技集团有限公司,2023-02-18,北京市市场监督管理局,航天科技集团有限公司,是,航天通信系统,航天科技新闻,http://www.aerospace-tech.com/,2023-10-18,,,,,,,,
2023-015,未来光网智能系统,220Mbps,天津未来科技有限公司,2023-01-04,天津市市场监督管理局,天津未来科技有限公司,是,智能城市通信,城市科技研究院,http://www.citytech.com/,2023-10-18,,,,,,,,
2023-006,超速LIFI系统,500Mbps,杭州新光科技有限公司,2023-10-10,浙江省市场监督管理局,杭州新光科技有限公司,是,高速室内通信系统,科技前沿杂志,https://www.techfrontier.com,2023-10-18,,,,,,,,
2023-007,移动LIFI系统,250Mbps,广州天际科技有限公司,2023-09-25,广州市市场监督管理局,广州天际科技有限公司,是,移动通信系统,光通信产业网,http://www.lightcom.com.cn,2023-10-18,,,,,,,,
2023-008,企业LIFI联网系统,300Mbps,南京企业科技有限公司,2023-08-12,南京市市场监督管理局,南京企业科技有限公司,是,企业级通信系统,中国通信报,https://www.chinatelecomnews.com,2023-10-18,,,,,,,,
2023-009,智能交通LIFI系统,600Mbps,深圳创新科技有限公司,2023-07-28,深圳市市场监督管理局,深圳创新科技有限公司,是,交通监控系统,智慧城市网,http://www.smartcitychina.com,2023-10-18,,,,,,,,
2023-010,家庭娱乐LIFI系统,400Mbps,北京数字生活科技有限公司,2023-06-15,北京市市场监督管理局,北京数字生活科技有限公司,是,家庭娱乐系统,家庭科技杂志,https://www.hometech.com,2023-10-18,,,,,,,,
2023-011,云数据LIFI传输,700Mbps,西安云科技有限公司,2023-05-30,陕西省市场监督管理局,西安云科技有限公司,是,数据中心通信系统,数据中心论坛,http://www.datacenterforum.com,2023-10-18,,,,,,,,
2023-012,医疗LIFI通信系统,350Mbps,天津医疗科技有限公司,2023-07-05,天津市市场监督管理局,天津医疗科技有限公司,是,医疗应用系统,中国医疗科技网,http://www.chinamedicaltech.com,2023-10-18,,,,,,,,
2023-013,环保监测LIFI系统,520Mbps,成都环保科技有限公司,2023-08-18,成都市市场监督管理局,成都环保科技有限公司,是,环境监测系统,生态环境部,http://www.mee.gov.cn,2023-10-18,,,,,,,,
2023-014,零售商店LIFI系统,450Mbps,沈阳现代科技有限公司,2023-09-07,沈阳市市场监督管理局,沈阳现代科技有限公司,是,零售通信系统,零售科技新闻,http://www.retailtechnews.com,2023-10-18,,,,,,,,
2023-006,光络通X2,125Mbps,天津卓越科技公司,2023-10-01,天津市市场监督管理局,天津卓越科技公司,是,办公通信系统,科技日报,http://www.stdaily.com/,2023-10-18,,,,,,,,
2023-007,城市照明LIFI系统,180Mbps,武汉光明科技有限公司,2023-09-30,武汉市市场监督管理局,武汉光明科技有限公司,是,城市照明系统,长江日报,http://www.cjrbapp.com/,2023-10-18,,,,,,,,
2023-008,高频教育系统,350Mbps,成都智慧教育有限公司,2023-08-15,成都市市场监督管理局,成都智慧教育有限公司,是,智能教育系统,教育网,http://www.edu.cn/,2023-10-18,,,,,,,,
2023-009,医疗数据传输系统,400Mbps,深圳医疗科技有限公司,2023-07-25,深圳市市场监督管理局,深圳医疗科技有限公司,是,医疗应用系统,医疗科技网,http://www.medtech.cn/,2023-10-18,,,,,,,,
