年份,国家,新能源类型,装机规模,发电量,采集来源,来源链接,采集时间,备注【疑问汇总】
2024,中国,风电,4.67 亿千瓦,5088 亿千瓦时,国家能源局,https://www.nea.gov.cn/,2024-10-11,
2024,中国,太阳能,7.14 亿千瓦,3914 亿千瓦时,中国电力企业联合会,http://www.cec.org.cn/,2024-10-11,
2024,中国,水电,4.27 亿千瓦,5526 亿千瓦时,水电水利规划设计总院,http://www.wrpla.com/,2024-10-11,
2023,中国,生物质,4530 万千瓦,数据未提供,中国生物质能协会,http://www.chinabiomass.org/,2024-10-11,
2023,中国,新型储能,4444 万千瓦,数据未提供,国家发展改革委,https://www.ndrc.gov.cn/,2024-10-11,
2025,中国,风电,520000000.0,6150,中国风能协会,http://www.cwea.org.cn/,,
2025,中国,太阳能,850000000.0,4600,中国太阳能产业协会,http://www.csia.org.cn/,,
2024,中国,水电,480000000.0,6000,中国水利部,http://www.mwr.gov.cn/,,
2025,中国,生物质,50000000.0,700,中国生物质能协会,http://www.chinabiomass.org/,,
2026,中国,新型储能,5000,数据未提供,中国储能网,http://www.escn.com.cn/,,
2023,中国,氢能,200,数据未提供,中国氢能产业技术创新战略联盟,http://www.chinahidrogen.org/,,
2024,中国,潮汐能,8000,120,中国海洋局,http://www.soa.gov.cn/,,
2026,中国,地热能,6000,80,国家能源局,https://www.nea.gov.cn/,,
2025,中国,废弃物发电,25000000.0,300,中国固废管理协会,http://www.chinawaste.org/,,
2026,中国,混合动力,4500,数据未提供,中国清洁能源研究院,http://www.cleanenergyresearch.org/,,
2024,中国,风电,502000000.0,5600,中国风能协会,http://www.cwea.org.cn/,,
2024,中国,太阳能,825000000.0,4320,国家能源局,https://www.nea.gov.cn/,,
2025,中国,水电,475000000.0,6000,中国水电建设集团,http://www.csgec.com/,,
2025,中国,生物质,50000000.0,3500,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,60000000.0,1200,全国储能产业技术创新战略联盟,http://www.esc.org.cn/,,
2023,美国,风电,250000000.0,3020,美国风能协会,https://www.awea.org/,,
2023,德国,太阳能,210000000.0,2500,德国可再生能源署,https://www.renewables.de/,,
2023,中国,水电,490000000.0,4800,水电水利规划设计总院,http://www.wrpla.com/,,
2024,中国,氢能,80000000.0,500,中国氢能联盟,http://www.chinahydrogen.org/,,
2025,中国,地热能,30000000.0,1000,中国地热能协会,http://www.geothermal.org.cn/,,
2025,中国,风电,502000000.0,575000000000.0,国家气候变化委员会,http://www.ncc.gov.cn/,,
2025,中国,太阳能,830000000.0,410000000000.0,中国光伏行业协会,http://www.cpvba.org/,,
2024,中国,水电,480000000.0,512000000000.0,中国电力部,http://www.sge.gov.cn/,,
2024,中国,生物质,50000000.0,187500000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,55550000.0,120000000000.0,中国能源研究会,http://www.chinaenergy.org/,,
2025,中国,潮汐能,150000000.0,45000000000.0,国家海洋局,http://www.soa.gov.cn/,,
2023,中国,风电,420000000.0,490000000000.0,中国风能协会,http://www.china-wind.org/,,
2025,中国,太阳能,900000000.0,500000000000.0,国家能源局,https://www.nea.gov.cn/,,
2023,中国,水电,450000000.0,530000000000.0,水利部,http://www.mwr.gov.cn/,,
2025,中国,生物质,46000000.0,215000000000.0,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,风电,5.32,5530,国家能源局,https://www.nea.gov.cn/,,
2023,中国,太阳能,8.23,4640,中国电力企业联合会,http://www.cec.org.cn/,,
2024,中国,水电,4.5,6000,水电水利规划设计总院,http://www.wrpla.com/,,
2023,中国,生物质,5000,2500,中国生物质能协会,http://www.chinabiomass.org/,,
2024,中国,新型储能,6000,3100,国家发展改革委,https://www.ndrc.gov.cn/,,
