智能传感器类型（字符型）,主要特性（字符型）,发展历程（字符型）,检测原理（字符型）,输出信号（字符型）,制造材料类别（字符型）,制造材料属性（字符型）,制造材料结构（字符型）,技术路径（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
超声波传感器,高精度、抗干扰,2000年代后期逐渐应用,超声波反射,模拟信号,陶瓷,高频特性、轻量化,单层结构,CMOS、MEMS,智能制造论坛,http://www.smartmanufacturingforum.cn,2024-09-14,,,,,,,,
光纤传感器,高灵敏度、环境适应性强,2000年代初期广泛应用,光纤干涉,模拟/数字信号,光纤材料,透明性、高强度,复合结构,光纤技术,科技前沿,https://www.techfrontier.com.cn,2024-09-14,,,,,,,,
温度传感器,低功耗、长期稳定性,2010年代普及,热电偶、热电堆,数字信号,陶瓷,耐高温、抗化学腐蚀,多层结构,CMOS,中国科学院,https://www.cas.cn/,2024-09-14,,,,,,,,
负载传感器,高稳定性、量程广,2000年代逐渐被广泛应用,应变式,模拟信号,合金材料,耐腐蚀、强度高,单层结构,MEMS,工业技术研发中心,https://www.industrial-research.com,2024-09-14,,,,,,,,
电流传感器,实时监测、准确性高,2015年广泛应用,霍尔效应,数字信号,铁氧体,导电性强、稳定性佳,封闭式结构,智能电网技术,国家电网公司,https://www.sgcc.com.cn/,2024-09-14,,,,,,,,
速度传感器,响应快、精度高,1990年代至今持续更新,频率测量、压电效应,数字信号,复合材料,耐候性、绝缘性,微型化结构,MEMS、纳米技术,运动科技观察,https://www.sports-tech-observe.com,2024-09-14,,,,,,,,
震动传感器,灵敏度高、实时监测,2000年代后期发展迅速,压电效应,模拟信号,铝材料,轻便、耐高温,薄膜结构,CMOS,建筑工程技术,https://www.buildengineering.com,2024-09-14,,,,,,,,
体积传感器,自动校准、实时监测,2015年代逐渐成熟,超声波反射,模拟/数字信号,聚合物,轻量、耐污染,微型化结构,MEMS,工业自动化,https://www.tuya.com/cn/,2024-09-14,,,,,,,,
水质传感器,实时监测、精确分析,2018年起应用于智能水务管理,电化学传感,模拟/数字信号,合金,耐腐蚀、长期稳定,坚固结构,MEMS,水资源管理协会,https://www.watersupply.org/,2024-09-14,,,,,,,,
气体质量传感器,低功耗、精准测量,2015年代开始商业化,红外光谱法、半导体传感,数字信号,金属金属氧化物,灵敏性强、气密性好,微型化结构,MEMS,能源与环境,https://www.energy-environment.com,2024-09-14,,,,,,,,
