年份,国家,重点城市,万元GDP能耗,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2023,中国,北京,0.85,吨标准煤/万元GDP,国家统计局,https://www.stats.gov.cn/tjsj/,2024-10-12,
2023,中国,上海,0.78,吨标准煤/万元GDP,国家统计局,https://www.stats.gov.cn/tjsj/,2024-10-12,
2022,中国,深圳,0.9,吨标准煤/万元GDP,深圳市统计局,https://www.sz.gov.cn/statistics/,2024-10-12,
2022,中国,广州,0.88,吨标准煤/万元GDP,广州市统计局,https://www.gz.gov.cn/statistics/,2024-10-12,
2021,中国,杭州,0.82,吨标准煤/万元GDP,浙江省统计局,https://www.zj.gov.cn/statistics/,2024-10-12,
2021,中国,成都,0.95,吨标准煤/万元GDP,四川省统计局,https://www.sc.gov.cn/statistics/,2024-10-12,
2022,中国,武汉,0.83,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/xxgk/tjxx/,,
2023,中国,南京,0.79,吨标准煤/万元GDP,江苏省统计局,https://www.jssz.gov.cn/,,
2021,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,https://tjj.cq.gov.cn/,,
2023,中国,西安,0.87,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/,,
2022,中国,青岛,0.81,吨标准煤/万元GDP,青岛市统计局,http://www.qd.stats.gov.cn/,,
2023,中国,天津,0.86,吨标准煤/万元GDP,天津市统计局,http://www.tj.stats.gov.cn/,,
2021,中国,厦门,0.75,吨标准煤/万元GDP,厦门市统计局,http://www.xm.gov.cn/,,
2022,中国,合肥,0.84,吨标准煤/万元GDP,安徽省统计局,http://www.ahstats.gov.cn/,,
2021,中国,郑州,0.91,吨标准煤/万元GDP,河南省统计局,http://www.ha.stats.gov.cn/,,
2023,中国,沈阳,0.88,吨标准煤/万元GDP,辽宁省统计局,http://www.ln.gov.cn/,,
2023,中国,重庆,0.87,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2023,中国,武汉,0.83,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,,
2022,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,,
2022,中国,苏州,0.79,吨标准煤/万元GDP,苏州市统计局,https://www.suzhou.gov.cn/statistics/,,
2021,中国,天津,0.84,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,,
2021,中国,合肥,0.92,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,,
2023,中国,福州,0.8,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,,
2023,中国,桂林,0.89,吨标准煤/万元GDP,桂林市统计局,https://www.guilin.gov.cn/statistics/,,
2022,中国,长沙,0.85,吨标准煤/万元GDP,长沙市统计局,https://www.changsha.gov.cn/statistics/,,
2021,中国,郑州,0.96,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,,
2023,中国,南京,0.83,吨标准煤/万元GDP,南京市统计局,https://www.nanjing.gov.cn/statistics/,,
2023,中国,武汉,0.77,吨标准煤/万元GDP,武汉市统计局,https://www.wuhan.gov.cn/statistics/,,
2022,中国,西安,0.92,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,,
2022,中国,青岛,0.81,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,,
2021,中国,重庆,0.98,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,,
2021,中国,天津,0.8,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,,
2020,中国,厦门,0.87,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,,
2020,中国,合肥,0.86,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,,
2019,中国,郑州,0.91,吨标准煤/万元GDP,郑州市统计局,https://www.zhengzhou.gov.cn/statistics/,,
