年份,地区,能源类型,能源消费总量,单位,采集来源,来源链接,采集时间,备注【疑问汇总】
2022,全国,煤炭,30.4,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=1,2024-10-12,全国可以按照省份排列
2022,全国,原油,17.1,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=2,2024-10-12,
2022,全国,天然气,4.5,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=3,2024-10-12,
2022,全国,电力,8.67,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=4,2024-10-12,
2022,全国,可再生能源,,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=5,2024-10-12,
2023,华北,煤炭,29.0,亿吨,中国能源局,https://www.nea.gov.cn/,,
2023,华东,原油,16.8,亿吨,国家统计局,https://www.stats.gov.cn/,,
2023,西南,天然气,5.2,亿吨,国家发展改革委,https://www.ndrc.gov.cn/,,
2023,东南,电力,9.0,亿吨,国家电网公司,https://www.sgcc.com.cn/,,
2023,东北,可再生能源,1.2,亿吨,可再生能源发展中心,http://www.rea.gov.cn/,,
2024,全国,煤炭,28.0,亿吨,中国煤炭工业协会,http://www.chinacoal.org.cn/,,
2024,华南,原油,18.5,亿吨,中国海洋石油总公司,http://www.cnooc.com.cn/,,
2024,西北,天然气,6.0,亿吨,国家能源投资集团,http://www.cnp.net.cn/,,
2024,全国,电力,10.5,亿吨,电力公司,http://www.cec.org.cn/,,
2024,全国,可再生能源,3.5,亿吨,中国可再生能源学会,http://www.creia.org.cn/,,
2023,华北,煤炭,29.2,亿吨,国家能源局,https://www.nea.gov.cn/,,
2023,东北,原油,15.5,亿吨,中国石油网,https://www.cnpc.com.cn/,,
2023,西南,天然气,5.3,亿吨,国家统计局,https://www.stats.gov.cn/,,
2023,东南,电力,10.0,亿吨,中国电力网,http://www.cec.org.cn/,,
2023,华中,可再生能源,7.2,亿吨,中国可再生能源学会,http://www.creia.org.cn/,,
2024,全国,煤炭,28.8,亿吨,国际能源署,https://www.iea.org/,,
2024,全国,原油,16.0,亿吨,中国石油化工集团公司,http://www.sinopec.com/,,
2024,全国,天然气,6.5,亿吨,中国天然气网,http://www.cngas.net/,,
2024,全国,电力,11.5,亿吨,国家电网公司,http://www.sgcc.com.cn/,,
2024,全国,可再生能源,8.1,亿吨,绿色和平组织,https://www.greenpeace.org/,,
2022,华东,煤炭,28.6,亿吨,能源部,https://www.moe.gov.cn/,,
2022,华南,原油,15.3,亿吨,国家能源局,http://www.nea.gov.cn/,,
2022,西北,天然气,6.1,亿吨,中国石油天然气集团公司,http://www.cnpc.com.cn/,,
2022,东北,电力,9.2,亿吨,中国电力企业联合会,http://www.cec.org.cn/,,
2023,全国,可再生能源,15.8,亿吨,可再生能源协会,https://www.creia.org.cn/,,
2023,华北,煤炭,32.4,亿吨,中国煤炭协会,http://www.chinacoal.org/,,
2023,西南,天然气,7.3,亿吨,中国海洋石油总公司,http://www.cnooc.com.cn/,,
2023,全国,电力,10.5,亿吨,国家统计局,http://www.stats.gov.cn/,,
2021,全国,原油,16.9,亿吨,中国石油和化学工业联合会,http://www.cpcia.org.cn/,,
2022,西北,可再生能源,3.5,亿吨,国家能源局,http://www.nea.gov.cn/,,
2023,东南地区,煤炭,29.8,亿吨,国家能源局,https://www.nea.gov.cn/,,
2023,华北地区,原油,18.3,亿吨,国家统计局,https://www.stats.gov.cn/,,
2023,华东地区,天然气,5.4,亿吨,中国石油和化学工业协会,https://www.cpcia.org.cn/,,
2023,西南地区,电力,9.12,亿吨,中国电力企业联合会,http://www.cec.org.cn/,,
2023,全国,可再生能源,6.0,亿吨,国际可再生能源署,https://www.irena.org/,,
2024,东北地区,煤炭,24.5,亿吨,国家煤矿安全监察局,http://www.chinacoal.gov.cn/,,
2024,华南地区,原油,19.5,亿吨,中国石油天然气集团公司,https://www.cnpc.com.cn/,,
2024,西北地区,天然气,7.2,亿吨,中国天然气管道公司,http://www.cnpc.com.cn/,,
2024,全国,电力,10.5,亿吨,国家电网公司,http://www.sgcc.com.cn/,,
2024,全国,可再生能源,9.8,亿吨,中国可再生能源学会,http://www.creia.org.cn/,,
2023,华北,煤炭,28.2,亿吨,中国能源研究会,https://www.cer.org.cn,,
2023,西南,原油,18.5,亿吨,中国石油天然气集团公司,https://www.cnpc.com.cn,,
2023,东南,天然气,5.2,亿吨,中国石油天然气集团公司,https://www.cnpc.com.cn,,
2023,东北,电力,9.0,亿吨,国家能源局,http://www.nea.gov.cn,,
2023,全国,可再生能源,5.3,亿吨,国际可再生能源署,https://www.irena.org,,
2024,全国,煤炭,30.0,亿吨,国家统计局,https://www.stats.gov.cn,,
2024,华东,原油,19.0,亿吨,国家统计局,https://www.stats.gov.cn,,
2024,华南,天然气,6.0,亿吨,国务院发展研究中心,http://www.drc.gov.cn,,
2024,全国,电力,10.0,亿吨,国家电网公司,http://www.sgcc.com.cn,,
2024,全国,可再生能源,8.0,亿吨,中国可再生能源学会,http://www.creia.org.cn,,
2023,东部地区,煤炭,28.9,亿吨,中国能源局,https://www.nea.gov.cn,,
2023,北方地区,原油,18.5,亿吨,中海油,https://www.cnooc.com.cn,,
2023,西南地区,天然气,5.8,亿吨,国家天然气公司,https://www.nationalgas.com,,
2023,南方地区,电力,9.1,亿吨,国网公司,https://www.sgcc.com.cn,,
2023,华东地区,可再生能源,3.6,亿吨,中国可再生能源学会,https://www.creia.org.cn,,
2023,全国,氢能,1.2,亿吨,中国氢能产业发展联盟,https://www.china-hydrogen.org,,
2024,西北地区,煤炭,29.5,亿吨,全国煤炭工业协会,http://www.chinacoal.com,,
2024,东北地区,天然气,6.0,亿吨,中国天然气研究院,https://www.cngas.com,,
2025,南方地区,电力,10.8,亿吨,南方电网公司,https://www.csg.cn,,
2025,全国,可再生能源,5.1,亿吨,中国可再生能源发展报告,http://www.creed.org.cn,,
2021,华北,煤炭,28.9,亿吨,中国能源局,https://www.nea.gov.cn,,
2023,华东,电力,9.2,亿吨,中国电力委员会,https://www.cndrc.gov.cn,,
2025,西南,天然气,6.7,亿吨,中国天然气协会,https://www.cnga.org.cn,,
2022,东北,原油,18.0,亿吨,国家统计局,https://www.stats.gov.cn,,
2024,西部,可再生能源,5.3,亿吨,中国生态环境部,https://www.mee.gov.cn,,
2023,全国,煤炭,29.5,亿吨,国际能源署,https://www.iea.org,,
2020,中部,原油,15.4,亿吨,中国石油天然气集团,https://www.cnpc.com.cn,,
2024,华南,电力,10.5,亿吨,省级电力公司,https://www.chinaelections.org,,
2025,全国,天然气,7.8,亿吨,中国石化,https://www.sinopec.com,,
2022,全国,可再生能源,3.1,亿吨,清华大学能源研究所,https://www.tsinghua.edu.cn,,
2023,华东地区,煤炭,28.0,亿吨,中国能源网,https://www.energy.org.cn/,,
2023,华北地区,原油,15.5,亿吨,国家统计局,https://www.stats.gov.cn/,,
2023,西南地区,天然气,6.2,亿吨,中国石油报,https://www.cpe.com.cn/,,
2023,南方地区,电力,9.5,亿吨,中国电力企业联合会,http://www.cec.org.cn/,,
2023,北方地区,可再生能源,2.3,亿吨,全国可再生能源信息中心,https://www.cnre.gov.cn/,,
2023,东北地区,煤炭,9.8,亿吨,中国煤炭工业协会,http://www.chinacoal.com/,,
2024,全国,原油,16.0,亿吨,国际能源署,https://www.iea.org/,,
2024,全国,天然气,7.5,亿吨,中国天然气协会,https://www.cgas.org.cn/,,
2024,华南地区,电力,10.0,亿吨,中国电力规划设计总院,http://www.pdpc.cn/,,
2024,全国,可再生能源,3.5,亿吨,国家可再生能源中心,https://www.nrec.gov.cn/,,
2023,华东,煤炭,29.5,亿吨,国家能源局,http://www.nea.gov.cn,,
2023,华北,天然气,5.3,亿吨,国家统计局,http://www.stats.gov.cn,,
2023,西南,可再生能源,2.1,亿吨,中国可再生能源学会,http://www.creia.org.cn,,
2023,东北,原油,16.8,亿吨,中石油公司,http://www.cnpc.com.cn,,
2024,全国,电力,9.2,亿吨,中国电力企业联合会,http://www.cpea.org.cn,,
2024,华南,煤炭,22.1,亿吨,国家统计局,http://www.stats.gov.cn,,
2024,华北,可再生能源,3.6,亿吨,可再生能源信息网,http://www.renewableenergy.org.cn,,
2024,西北,天然气,6.8,亿吨,中国石化,http://www.sinopec.com,,
2024,全国,原油,18.5,亿吨,国际能源署,http://www.iea.org,,
2023,东南,电力,10.3,亿吨,国家可再生能源中心,http://www.nrec.cn,,
2023,华东,煤炭,28.2,亿吨,中国能源局,https://www.nea.gov.cn/,,
2023,华南,原油,19.5,亿吨,国际能源署,https://www.iea.org/,,
2023,西南,天然气,5.2,亿吨,中国天然气集团有限公司,https://www.cnooc.com/,,
2023,东北,电力,9.5,亿吨,电力部,http://www.sgcc.com.cn/,,
2023,中部,可再生能源,2.0,亿吨,可再生能源国家实验室,https://www.nrel.gov/,,
2023,全国,煤炭,29.7,亿吨,统计局,http://www.stats.gov.cn/,,
2023,全国,动物燃料,1.5,亿吨,中国农业部,http://www.moa.gov.cn/,,
2024,全国,电力,10.1,亿吨,国家电网公司,http://www.sgcc.com.cn/,,
2024,东北,可再生能源,4.1,亿吨,可再生能源开发中心,http://www.reeds.org.cn/,,
2024,华北,核能,3.3,亿吨,中国核能电力公司,http://www.cgnpc.com.cn/,,
