年份,国家,重点城市,万元GDP能耗,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2023,中国,北京,0.85,吨标准煤/万元GDP,国家统计局,https://www.stats.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2023,中国,上海,0.78,吨标准煤/万元GDP,国家统计局,https://www.stats.gov.cn/tjsj/,2024-09-20,,,,,,,,,,,,,
2022,中国,深圳,0.9,吨标准煤/万元GDP,深圳市统计局,https://www.sz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,广州,0.88,吨标准煤/万元GDP,广州市统计局,https://www.gz.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,杭州,0.82,吨标准煤/万元GDP,浙江省统计局,https://www.zj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,成都,0.95,吨标准煤/万元GDP,四川省统计局,https://www.sc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.81,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.84,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.92,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.86,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.8,吨标准煤/万元GDP,天津市统计局,https://www.tianjin.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,青岛,0.79,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,郑州,0.89,吨标准煤/万元GDP,河南省统计局,https://www.henan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2020,中国,大连,0.83,吨标准煤/万元GDP,大连市统计局,https://www.dalian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,长沙,0.91,吨标准煤/万元GDP,湖南省统计局,https://www.hunan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2019,中国,厦门,0.77,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.84,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.87,吨标准煤/万元GDP,武汉市统计局,https://www.wh.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,https://www.xa.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.89,吨标准煤/万元GDP,重庆市统计局,https://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,厦门,0.83,吨标准煤/万元GDP,厦门市统计局,https://www.xm.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,天津,0.79,吨标准煤/万元GDP,天津市统计局,https://www.tj.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2024,中国,青岛,0.76,吨标准煤/万元GDP,青岛市统计局,https://www.qd.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2024,中国,沈阳,0.93,吨标准煤/万元GDP,沈阳市统计局,https://www.shenyang.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,合肥,0.81,吨标准煤/万元GDP,合肥市统计局,https://www.hefei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,福州,0.8,吨标准煤/万元GDP,福州市统计局,https://www.fuzhou.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.83,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.86,吨标准煤/万元GDP,武汉市统计局,http://www.wh.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.89,吨标准煤/万元GDP,天津市统计局,http://www.tianjin.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.92,吨标准煤/万元GDP,重庆市统计局,http://www.cq.gov.cn/,2024-09-20,,,,,,,,,,,,,
2021,中国,济南,0.87,吨标准煤/万元GDP,山东省统计局,http://www.shandong.gov.cn/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.91,吨标准煤/万元GDP,西安市统计局,http://www.xa.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,合肥,0.84,吨标准煤/万元GDP,合肥市统计局,http://www.hefei.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.77,吨标准煤/万元GDP,厦门市统计局,http://www.xiamen.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,苏州,0.8,吨标准煤/万元GDP,苏州市统计局,http://www.suzhou.gov.cn/,2024-09-20,,,,,,,,,,,,,
2022,中国,长沙,0.82,吨标准煤/万元GDP,长沙市统计局,http://www.changsha.gov.cn/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.8,吨标准煤/万元GDP,江苏省统计局,https://www.jiangsu.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,天津,0.92,吨标准煤/万元GDP,天津市统计局,http://www.tj.gov.cn/tj/index.shtml,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.77,吨标准煤/万元GDP,湖北省统计局,http://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,西安,0.89,吨标准煤/万元GDP,陕西省统计局,http://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,重庆,0.91,吨标准煤/万元GDP,重庆市统计局,http://www.cq.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,沈阳,0.96,吨标准煤/万元GDP,辽宁省统计局,http://www.ln.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,厦门,0.83,吨标准煤/万元GDP,福建省统计局,http://www.fujian.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,长沙,0.86,吨标准煤/万元GDP,湖南省统计局,http://www.hunan.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,济南,0.79,吨标准煤/万元GDP,山东省统计局,http://www.shandong.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2021,中国,合肥,0.84,吨标准煤/万元GDP,安徽省统计局,http://www.ah.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,南京,0.77,吨标准煤/万元GDP,江苏省统计局,https://www.js.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2022,中国,西安,0.91,吨标准煤/万元GDP,陕西省统计局,https://www.shaanxi.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,武汉,0.84,吨标准煤/万元GDP,湖北省统计局,https://www.hubei.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
2023,中国,成都,0.92,吨标准煤/万元GDP,四川省统计局,https://www.sc.gov.cn/statistics/,2024-09-20,,,,,,,,,,,,,
