年份,地区,能源类型,能源消费总量,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
2022,全国,煤炭,30.4,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=1,2024-09-19,全国可以按照省份排列,,,,,,,,,,,,
2022,全国,原油,17.1,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=2,2024-09-19,,,,,,,,,,,,,
2022,全国,天然气,4.5,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=3,2024-09-19,,,,,,,,,,,,,
2022,全国,电力,8.67,亿吨,国家统计局,https://www.bing.com/ck/a?!&&p=bf53b078004bcefcJmltdHM9MTcyODg2NDAwMCZpZ3VpZD0xMDJiMTU1Yy1jNGJmLTY0ZjEtM2I0ZC0wNzQ4YzU2ZDY1ZmUmaW5zaWQ9NTE5NQ&ptn=3&ver=2&hsh=3&fclid=102b155c-c4bf-64f1-3b4d-0748c56d65fe&psq=%e5%9b%bd%e5%ae%b6%e7%bb%9f%e8%ae%a1%e5%b1%80&u=a1aHR0cHM6Ly93d3cuc3RhdHMuZ292LmNuLw&ntb=4,2024-09-19,,,,,,,,,,,,,
2023,华北,煤炭,28.5,亿吨,中国能源局,http://www.nea.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,华东,原油,15.2,亿吨,国际能源署,https://www.iea.org/,2024-09-19,,,,,,,,,,,,,
2023,华南,天然气,5.1,亿吨,中国石油天然气集团公司,http://www.cnpc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,西南,电力,9.3,亿吨,国家电网公司,http://www.sgcc.com.cn/,2024-09-19,,,,,,,,,,,,,
2023,东北,可再生能源,3,亿吨,绿色和平组织,https://www.greenpeace.org/,2024-09-19,,,,,,,,,,,,,
2024,全国,煤炭,29.8,亿吨,中国煤炭工业协会,http://www.chinacoal.org/,2024-09-19,,,,,,,,,,,,,
2024,东北,原油,16.5,亿吨,中国石化,http://www.sinopec.com/,2024-09-19,,,,,,,,,,,,,
2024,华东,天然气,6.2,亿吨,中国天然气联合体,http://www.cnngv.org/,2024-09-19,,,,,,,,,,,,,
2024,西北,电力,10.5,亿吨,地方政府能源办公室,https://www.gov.cn/,2024-09-19,,,,,,,,,,,,,
2024,全国,可再生能源,7.4,亿吨,世界自然基金会,https://www.worldwildlife.org/,2024-09-19,,,,,,,,,,,,,
2023,北京,煤炭,28,亿吨,北京市统计局,https://www.bjstats.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,江苏,原油,15.8,亿吨,江苏省经济和信息化委员会,https://www.jseic.gov.cn/,2024-09-19,,,,,,,,,,,,,
2023,广东,天然气,5.2,亿吨,广东省能源局,http://www.gdenergy.gov.cn/,2024-09-19,,,,,,,,,,,,,
