人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 17,Unnamed: 18,Unnamed: 19
智能金融助手,机器学习、数据挖掘,金融机构内部合作,个人与企业用户,支付宝、平安集团,已商用,提升投资决策效率,分析市场数据与用户行为,金融服务,金融机构内部合作,金融服务,支付宝、平安集团,智能金融助手利用AI分析市场数据，帮助用户做出更好的投资决策。,金融界,https://www.jrj.com,2024-10-17,,,,
智能金融投资系统,机器学习、数据分析,金融机构应用,投资者与金融机构,大型,已商用,优化投资决策并提升收益,通过AI分析市场数据进行投资决策,金融科技,金融机构与科技公司合作,金融,摩根大通、阿里云,智能金融投资系统利用数据分析优化投资策略，提升投资收益。,金融时报,http://www.ft.com/,2024-10-17,,,,
AI法律助手,法律文件分析、智能咨询,律师事务所与科技公司合作,法律从业者,法庭科技、百度,在研,提高法律服务效率,自动分析法律文件与案例,法律科技,律师事务所与科技公司合作,法律服务,法庭科技、百度,AI法律助手通过自动分析法律文件与案例，提高法律服务效率。,法律科技网,https://www.lawtech.cn,2024-10-17,,,,
智能金融服务系统,金融分析、欺诈检测,金融机构与监管部门合作,金融服务,摩根大通、德勤,在研,增强风险管理与客户服务效率,AI进行交易数据实时分析与风险评估,金融服务,金融机构与监管部门合作,金融,摩根大通、德勤,智能金融服务系统通过AI技术提高风险分析的准确性和实时性。,金融时报,https://www.ft.com,2024-10-17,,,,
金融风险管理系统,机器学习、数据挖掘,金融机构与科技公司合作,银行与投资公司,高盛、摩根士丹利,已商用,降低财务风险与提高效率,利用AI识别潜在金融风险,金融科技,金融机构与科技公司合作,金融服务,高盛、摩根士丹利,金融风险管理系统通过算法识别潜在风险，帮助金融机构做出更明智的决策。,金融时报,https://www.ft.com,2024-10-17,,,,
智能教育平台,学习分析、教育科技,学校与教育技术公司合作,学生与教师,大型,已商用,个性化学习与知识评估,AI分析学生学习数据,教育科技,学校与教育技术公司合作,教育,无,智能教育平台通过AI分析学生学习数据，提高个性化学习与知识评估。,教育观察,https://www.eduobservation.com,2024-10-17,,,,
城市安全监控系统,计算机视觉、数据分析,政府与安全公司合作,市民与公共安全,宏碁、华为,在研,提高城市公共安全与应急响应,利用AI进行实时监控与异常行为检测,公共安全,政府与安全公司合作,公共安全,宏碁、华为,城市安全监控系统通过AI实时监控城市安全，提升应急响应能力。,Security Magazine,https://www.securitymagazine.com/,2024-10-17,,,,
个性化学习平台,教育技术、数据分析,教育机构与科技企业合作,学生与老师,新东方、Coursera,已商用,提升学习效果与教育质量,为学生提供个性化学习建议,教育,教育机构与科技企业合作,教育,新东方、Coursera,个性化学习平台通过AI分析学生表现，提供量身定制的学习方案。,教育观察,https://www.educationwatch.com,2024-10-17,,,,
智能教育平台,个性化学习、数据分析,教育机构与科技公司合作,学生与教师,Coursera、网易云课堂,在研,提高学习效率与个性化教学,为学生提供个性化学习材料与反馈,在线教育,教育机构与科技公司合作,教育,Coursera、网易云课堂,智能教育平台通过数据分析，为学生提供个性化学习体验。,教育研究网,https://www.educationresearch.com,2024-10-17,,,,
智慧医疗助手,智能问答、健康管理,医院与保险公司合作,患者,百度、腾讯,在研,提高病患信息的访问效率,AI辅助患者健康咨询,医疗健康,医院与保险公司合作,医疗健康,百度、腾讯,智慧医疗助手通过AI为患者提供健康咨询和病历信息访问。,医学论坛网,https://www.medforum.cn,2024-10-17,,,,
