日期,剧名,播放平台,所属单位,播放次数,单位,播放时长,单位,是否网剧,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,
2023-01-14,狂飙,爱奇艺、央8/1/北/东,中央电视台、北京爱奇艺科技有限公司、东阳留白影视文化有限公司、中国长安出版传媒有限公司,79.11,亿次,1755,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-07-24,长相思第一季,腾讯视频,腾讯公司,26.16,亿次,1755,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-04-06,长月烬明,优酷,优酷信息技术（北京）有限公司,28.02,亿次,1800,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-06-18,长风渡,爱奇艺、央8/1,爱奇艺公司,28.81,亿次,1800,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-07-23,莲花楼,爱奇艺、央8,爱奇艺公司,21.21,亿次,1800,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-03-14,归路,爱奇艺、芒果TV,芒果TV,14.96,亿次,1350,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-06-20,偷偷藏不住,优酷,优酷信息技术（北京）有限公司,11.39,亿次,1125,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-07-17,不完美受害人,东方卫视/浙江卫视,东阳留白影视文化有限公司,12.53,亿次,1305,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-02-09,显微镜下的大明,爱奇艺,湖南文艺出版社,5.69,亿次,560,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2023-01-15,三体,央8/1/苏,腾讯视频,12.14,亿次,480,分钟,是,豆瓣,https://movie.douban.com/,2024-10-10,,,,,,,,,,
2024-06-26,墨雨云间,优酷,优酷,23,亿次,720,分钟,是,影视数据平台灯塔,https://lmtw.com/mzw/content/detail/id/235066,2024-10-10,,,,,,,,,,
2024-06-26,惜花芷,优酷,优酷,18,亿次,600,分钟,是,影视数据平台灯塔,https://lmtw.com/mzw/content/detail/id/235067,2024-10-10,,,,,,,,,,
2024-06-26,花间令,优酷,优酷,15,亿次,540,分钟,是,影视数据平台灯塔,https://lmtw.com/mzw/content/detail/id/235068,2024-10-10,,,,,,,,,,
2024-06-26,乡村爱情16,优酷,优酷,12,亿次,480,分钟,是,影视数据平台灯塔,https://lmtw.com/mzw/content/detail/id/235069,2024-10-10,,,,,,,,,,
2024-06-26,你也有今天,优酷,优酷,10,亿次,420,分钟,是,影视数据平台灯塔,https://lmtw.com/mzw/content/detail/id/235070,2024-10-10,,,,,,,,,,
