动画名称,所属地区,主题词,关键词,评论类型,评论内容,评论载体,采集来源,来源链接,采集时间,备注【疑问汇总】,,,,,,,,,
深海,中国,动画电影,粒子水墨、深海、奇幻,正面,《深海》的叙事、技术与主题：国产动画电影的新探索,文章,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
深海,中国,动画电影,粒子水墨、深海、奇幻,负面,虽然画面精美，但剧情过于复杂，难以理解,豆瓣,万方数据,https://d.wanfangdata.com.cn/thesis/D02122217,2024-10-10,,,,,,,,,,
少年歌行 海外仙山篇,中国,动画剧集,少年、冒险,正面,少年歌行一次性官宣7部,微博热搜,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
伍六七之暗影宿命,中国,动画剧集,刺客、冒险,正面,《伍六七之暗影宿命》播放量超4亿,B站,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
师兄啊师兄,中国,动画剧集,修仙、冒险,正面,《师兄啊师兄》当前热度高,优酷,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
凡人修仙传,中国,动画剧集,修仙、冒险,正面,《凡人修仙传》热度高,B站,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
时光代理人,中国,动画剧集,时间、冒险,正面,《时光代理人》热度高,B站,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
雾山五行,中国,动画剧集,武侠、五行,正面,《雾山五行》热度高,B站,雷报统计,https://mp.weixin.qq.com/s?__biz=Mzg5NTA0MTE0NQ==&mid=2247510473&idx=1&sn=e4fce14a3dcc3f1ec676e16c0a1841ba&chksm=c01482dff7630bc947df42a24659b331a7b7aae08bd5320eca1a24223d1862aad9119b09cb9e&token=1372394154&lang=zh_CN#rd,2024-10-10,,,,,,,,,,
龙珠,日本,冒险、战斗,孙悟空、赛亚人,正面,经典的战斗场面，热血的剧情,豆瓣,万方数据,https://d.wanfangdata.com.cn/thesis/D02122217,2024-10-10,,,,,,,,,,
海贼王,日本,冒险、友情,路飞、海贼王,正面,剧情丰富，角色个性鲜明,豆瓣,万方数据,https://d.wanfangdata.com.cn/thesis/D02122218,2024-10-10,,,,,,,,,,
