年月,平台,剧集播放数,单位,剧集播出时长,单位,剧集上新数,单位,独播上新数,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,
2024-03,Bilibili,18,亿次,22.5,小时,17,部,10,部,B站数据,https://www.bilibili.com,2024-09-16,,,,,,,,,,,
2024-03,爱奇艺,72,亿次,65.3,小时,47,部,45,部,数字讯息,https://www.36kr.com/p/2860619025025667,2024-09-16,,,,,,,,,,,
2024-03,芒果TV,12,亿次,42.38,小时,7,部,7,部,骨朵数据,https://www.36kr.com/p/2860619025025669,2024-09-16,,,,,,,,,,,
2024-03,腾讯视频,49,亿次,57.28,小时,25,部,25,部,骨朵数据,https://www.36kr.com/p/2860619025025666,2024-09-16,,,,,,,,,,,
2024-03,优酷,37,亿次,39.91,小时,26,部,26,部,骨朵数据,https://www.36kr.com/p/2860619025025668,2024-09-16,,,,,,,,,,,
2024-02,Bilibili,72,亿次,65.3,小时,47,部,45,部,数字讯息,https://www.36kr.com/p/2860619025025667,2024-09-16,,,,,,,,,,,
2024-02,爱奇艺,53,亿次,55.15,小时,50,部,45,部,滔滔娱乐,https://www.36kr.com/p/2860619025025672,2024-09-16,,,,,,,,,,,
2024-02,芒果TV,19,亿次,39.84,小时,37,部,19,部,骨朵数据,https://www.36kr.com/p/2860619025025673,2024-09-16,,,,,,,,,,,
2024-02,腾讯视频,23,亿次,62.34,小时,49,部,23,部,骨朵数据,https://www.36kr.com/p/2860619025025671,2024-09-16,,,,,,,,,,,
2024-02,优酷,19,亿次,39.84,小时,37,部,19,部,骨朵数据,https://www.36kr.com/p/2860619025025673,2024-09-16,,,,,,,,,,,
2024-01,Bilibili,22,亿次,51.25,小时,20,部,12,部,站长统计数据,https://www.webmaster.com,2024-09-16,,,,,,,,,,,
2024-01,爱奇艺,59,亿次,41.36,小时,34,部,34,部,骨朵数据,https://www.36kr.com/p/2860619025025667,2024-09-16,,,,,,,,,,,
2024-01,抖音,44,亿次,52.15,小时,20,部,20,部,新播报,https://www.xinbobao.com/,2024-09-16,,,,,,,,,,,
2024-01,芒果TV,12,亿次,42.38,小时,7,部,7,部,骨朵数据,https://www.36kr.com/p/2860619025025669,2024-09-16,,,,,,,,,,,
2024-01,腾讯视频,49,亿次,57.28,小时,25,部,25,部,骨朵数据,https://www.36kr.com/p/2860619025025666,2024-09-16,,,,,,,,,,,
2024-01,优酷,37,亿次,39.91,小时,26,部,26,部,骨朵数据,https://www.36kr.com/p/2860619025025668,2024-09-16,,,,,,,,,,,
2023-12,Bilibili,30,亿次,56.8,小时,15,部,10,部,视频研究中心,https://www.videoresearch.com,2024-09-16,,,,,,,,,,,
2023-12,爱奇艺,27,亿次,47.66,小时,59,部,27,部,骨朵数据,https://www.36kr.com/p/2860619025025672,2024-09-16,,,,,,,,,,,
2023-12,抖音,30,亿次,25.75,小时,20,部,18,部,抖音数据平台,https://www.douyin.com/,2024-09-16,,,,,,,,,,,
2023-12,快手视频,33,亿次,30.95,小时,22,部,15,部,抖音数据,https://www.douyin.com,2024-09-16,,,,,,,,,,,
2023-12,搜狐视频,18,亿次,22.46,小时,15,部,5,部,搜狐科技,https://www.sohu.com/,2024-09-16,,,,,,,,,,,
2023-12,芒果TV,55,亿次,45.67,小时,30,部,15,部,艾瑞咨询,https://www.iresearch.com,2024-09-16,,,,,,,,,,,
2023-12,腾讯视频,23,亿次,62.34,小时,49,部,23,部,骨朵数据,https://www.36kr.com/p/2860619025025671,2024-09-16,,,,,,,,,,,
2023-12,西瓜视频,25,亿次,22.7,小时,15,部,10,部,影视数据网,https://www.yingshizhu.com,2024-09-16,,,,,,,,,,,
2023-12,优酷,19,亿次,39.84,小时,37,部,19,部,骨朵数据,https://www.36kr.com/p/2860619025025673,2024-09-16,,,,,,,,,,,
2023-11,Bilibili,15,亿次,30.25,小时,21,部,15,部,ZDC,https://www.zdc.com.cn,2024-09-16,,,,,,,,,,,
2023-11,爱奇艺,43,亿次,34.77,小时,22,部,12,部,QuestMobile,https://www.questmobile.com,2024-09-16,,,,,,,,,,,
2023-11,芒果TV,70,亿次,55.3,小时,40,部,20,部,爱奇艺研究院,https://www.iqiyi.com,2024-09-16,,,,,,,,,,,
2023-11,腾讯视频,67,亿次,50.25,小时,42,部,35,部,TalkingData,https://www.talkingdata.com,2024-09-16,,,,,,,,,,,
2023-11,优酷,15,亿次,29.54,小时,8,部,5,部,骨朵数据,https://www.36kr.com,2024-09-16,,,,,,,,,,,
2023-10,Bilibili,22,亿次,35.48,小时,15,部,10,部,伽马数据,https://www.gamadata.com,2024-09-16,,,,,,,,,,,
2023-10,爱奇艺,37,亿次,38.84,小时,30,部,15,部,中国网,https://www.china.com.cn,2024-09-16,,,,,,,,,,,
2023-10,芒果TV,28,亿次,45.9,小时,33,部,15,部,搜狐媒体,https://www.sohu.com,2024-09-16,,,,,,,,,,,
2023-10,腾讯视频,80,亿次,62.11,小时,50,部,25,部,科技日报,https://www.stdaily.com,2024-09-16,,,,,,,,,,,
2023-10,西瓜视频,18,亿次,45.12,小时,12,部,10,部,资讯数据,https://www.xigua.com,2024-09-16,,,,,,,,,,,
2023-10,优酷,19,亿次,43.12,小时,11,部,6,部,娱乐资本论,https://www.yulezibenlun.com,2024-09-16,,,,,,,,,,,
2023-09,Bilibili,20,亿次,35.5,小时,15,部,15,部,B站数据中心,https://www.bilibili.com/,2024-09-16,,,,,,,,,,,
2023-09,爱奇艺,55,亿次,63.21,小时,30,部,30,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-09,芒果TV,41,亿次,50.89,小时,29,部,11,部,TalkingData,https://www.talkingdata.com/,2024-09-16,,,,,,,,,,,
2023-09,腾讯视频,34,亿次,40.32,小时,45,部,18,部,现代快报,https://www.xdkb.net,2024-09-16,,,,,,,,,,,
2023-09,优酷,64,亿次,45.5,小时,40,部,32,部,艾瑞咨询,https://www.iresearch.com.cn/,2024-09-16,,,,,,,,,,,
2023-08,Bilibili,30,亿次,25.72,小时,45,部,35,部,B站官方,https://www.bilibili.com/,2024-09-16,,,,,,,,,,,
2023-08,爱奇艺,70,亿次,75.2,小时,35,部,33,部,骨朵数据,https://www.36kr.com/,2024-09-16,,,,,,,,,,,
2023-08,芒果TV,50,亿次,48.72,小时,33,部,10,部,前瞻网,https://www.qianzhan.com/,2024-09-16,,,,,,,,,,,
2023-08,腾讯视频,15,亿次,36.75,小时,10,部,5,部,QuestMobile,https://www.questmobile.com.cn/,2024-09-16,,,,,,,,,,,
2023-08,优酷,80,亿次,51.67,小时,45,部,20,部,诚传媒,https://www.chengmedia.com/,2024-09-16,,,,,,,,,,,
