系统名称（字符型）,最大平飞速度（数值型）,单位,最小速度（数值型）,单位.1,实用升限（数值型）,单位.2,最大/最低使用高度（字符型）,最大续航时间（数值型）,单位.3,飞行半径（数值型）,单位.4,最小转弯半径（数值型）,单位.5,最大爬升率（数值型）,单位.6,最大下降率（数值型）,单位.7,起飞着陆性能（字符型）,最大任务载重（数值型）,单位.8,几何尺寸（字符型）,目标定位精确度（字符型）,飞行姿态平稳度（字符型）,采集来源,来源链接,采集时间,备注,
空天飞行器系统,25,马赫,0.3,马赫,100,公里,40公里/0公里,12,小时,500,公里,150,米,300,米/秒,200,米/秒,起飞距离：500米，降落距离：600米,1000,公斤,长：10米，宽：5米，高：3米,±1米,稳定,国家国防科技工业局,https://www.sastind.gov.cn/n10086205/n10086408/n10104260/c10104740/content.html,2024-10-09,,
高超声速飞行器,30,马赫,0.5,马赫,80,公里,90公里/10公里,8,小时,700,公里,200,米,350,米/秒,250,米/秒,起飞距离：600米，降落距离：700米,1500,公斤,长：12米，宽：6米，高：4米,±2米,稳定,科学网,https://news.sciencenet.cn/sbhtmlnews/2023/12/377664.shtm?id=377664,2024-10-09,,
空天无人机系统,20,马赫,0.2,马赫,50,公里,20公里/0公里,15,小时,400,公里,100,米,250,米/秒,180,米/秒,起飞距离：300米，降落距离：400米,500,公斤,长：8米，宽：4米，高：2.5米,±1.5米,稳定,航空航天科技有限公司,http://www.most.gov.cn/space-test,2024-10-09,,
超音速巡航飞机,2.5,马赫,0.3,马赫,18,公里,25公里/0公里,6,小时,300,公里,80,米,200,米/秒,150,米/秒,起飞距离：400米，降落距离：500米 ,800,公斤,长：7.5米，宽：3.5米，高：2.2米,±1.2米,稳定,航空材料公司,http://www.news.cn/2022-07/25/c_1128862989.htm,2024-10-09,,
快速反应侦察飞行器,27,马赫,0.4,马赫,90,公里,80公里/5公里,10,小时,600,公里,120,米,320,米/秒,220,米/秒,起飞距离：550米，降落距离：650米,750,公斤,长：9米，宽：4.5米，高：2.8米,±1.0米,稳定,军事航空技术研究院,http://www.militaryaviation.com,2024-10-09,,
载人空天飞行器,22.5,马赫,0.6,马赫,70,公里,60公里/15公里,5,小时,400,公里,180,米,290,米/秒,220,米/秒,起飞距离：500米，降落距离：700米,1200,公斤,长：11米，宽：5.5米，高：3.5米,±2.5米,稳定,NASA官网,https://www.nasa.gov/,2024-10-09,,
自主空天监测无人机,19,马赫,0.4,马赫,45,公里,30公里/0公里,9,小时,300,公里,90,米,260,米/秒,190,米/秒,起飞距离：350米，降落距离：450米,400,公斤,长：7米，宽：4米，高：2米,±1.3米,稳定,无人机发展新趋势,http://www.dronesnewtrends.com,2024-10-09,,
新型弹道飞行器,32,马赫,0.7,马赫,120,公里,110公里/20公里,4,小时,800,公里,250,米,400,米/秒,300,米/秒,起飞距离：700米，降落距离：800米,2000,公斤,长：14米，宽：8米，高：5米,±3.0米,稳定,防务科技网,http://www.defensetechnology.org,2024-10-09,,
高空长航时无人机,18,马赫,0.3,马赫,60,公里,50公里/0公里,20,小时,500,公里,130,米,280,米/秒,180,米/秒,起飞距离：350米，降落距离：550米,600,公斤,长：10米，宽：5米，高：3米,±2米,稳定,空天科技论坛,http://www.spaceforum.org,2024-10-09,,
次音速远程飞行器,1.8,马赫,0.2,马赫,30,公里,20公里/0公里,7,小时,250,公里,75,米,150,米/秒,120,米/秒,起飞距离：200米，降落距离：300米,300,公斤,长：5米，宽：3米，高：2米,±1米,稳定,未来航空研究中心,http://www.futureaero.com,2024-10-09,,
