试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
空天飞行器气动特性测试,京公网安备11010802098765号,GB/T 17245,高超声速飞行器,实验系统,完成,第一阶段,性能测试,张刚,航空航天研究院,国家实验室,2023-01-15,2023-02-01,2023-02-15,2023-02-20,京公网安备11010802098765号,930875,科研项目,航空科技公司,实验室数据,中国,科技部,https://www.most.gov.cn/space-test,2024-10-09,来源链接可能不全
深空探测器自主导航实验,京公网安备11010802134567号,GB/T 67812,自主导航系统,导航系统,正在进行,第二阶段,技术验证,李哲,深空探索中心,航天科技公司,2023-03-10,2023-04-05,待定,2024-01-10,京公网安备11010802134567号,930875,项目申报,深空科技有限公司,实地测试数据,中国,科学网,https://news.sciencenet.cn/sbhtmlnews/2023/12/377664.shtm?id=377664,2024-10-09,
空天遥感影像处理实验,京公网安备11010802212345号,GB/T 72403,遥感数据处理系统,数据处理系统,完成,第三阶段,数据分析,王芳,遥感技术研究所,数据分析中心,2023-05-20,2023-06-01,待定,2023-06-15,京公网安备11010802212345号,930875,科研项目,遥感科技公司,实验室数据,中国,国家科技部,http://www.news.cn/2022-07/25/c_1128862989.htm,2024-10-09,
高超声速风洞实验,京公网安备11010802345678号,GB/T 34037,JF-22超高速风洞,风洞实验,完成,第一阶段,性能测试,刘强,高速气动研究所,国家风洞中心,2023-07-01,2023-08-15,待定,2023-09-01,京公网安备11010802345678号,930875, 项目申报 ,风洞科技有限公司,测试记录数据, 中国,科技日报,https://www.ncsti.gov.cn/kjdt/ztbd/2023kjz/jingcaizhanxiang/202305/t20230515_120403.html,2024-10-09,
微重力材料科学实验,京公网安备11010802467890号,GB/T 40378,问天实验舱 ,实验舱,正在进行,第三阶段,科学实验,于丽,空间应用中心,航天科技公司,2023-08-10,待定,待定,待定 ,京公网安备11010802467890号,930875,项目申报,航天科学公司,实验室数据,中国, 新华网,http://www.news.cn/2022-07/25/c_1128862989.htm,2024-10-09,
低轨卫星组网系统测试,京公网安备11010802032367号,GB/T 83765,低轨卫星组网,通信系统,完成,第一阶段,网络测试,赵强,卫星技术研究院,国家卫星实验室,2023-09-01,2023-09-10,2023-09-30,2023-10-05,京公网安备11010802032367号,930875,科研项目,卫星科技有限公司,实验室数据,中国,科技日报,https://www.stnm.gov.cn,2024-10-09,
高空无人机操控性能测试,京公网安备11010802032368号,GB/T 55897,高空无人机系统,无人机系统,正在进行,第二阶段,性能测试,林静,航空工程学院,无人机技术中心,2023-10-15,2023-11-01,待定,2024-01-01,京公网安备11010802032368号,930875,项目申报,无人机科技公司,现场测试数据,中国,新京报,https://www.bjnews.com.cn,2024-10-09,
月球登陆器控制系统测试,京公网安备11010802032369号,GB/T 72817,月球登陆器,探测器系统,完成,第三阶段,控制测试,周刚,航天器设计院,国家航天局,2023-11-05,2023-11-15,2023-11-30,2023-12-01,京公网安备11010802032369号,930875,科研项目,航天技术集团,实验室数据,中国,科技部,https://www.most.gov.cn,2024-10-09,
火星探测器着陆技术实验,京公网安备11010802032370号,GB/T 67812,火星探测器,探测器系统,正在进行,第一阶段,技术验证,马云,火星探索研究中心,空间站实验室,2023-12-01,待定,待定,待定,京公网安备11010802032370号,930875,项目申报,火星科技有限公司,模拟实验数据,中国,科学网,https://www.sciencenet.cn,2024-10-09,
空间站生物实验系统测试,京公网安备11010802032371号,GB/T 17276,空间站生物实验舱,实验舱,完成,第二阶段,生物实验,李华,空间科学研究所,航天医学中心,2023-12-15,2024-01-01,2024-01-20,2024-02-01,京公网安备11010802032371号,930875,科研项目,航天生物科技公司,实验室数据,中国,新华网,http://www.news.cn,2024-10-09,
