基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
光纤接入,1 Gbps,10 Gbps,高,亚洲云,https://www.asiayun.com/helpcontent/230.html,2024-10-10,
数字用户线（ADSL）,640 kbps,8 Mbps,中,腾讯云,https://cloud.tencent.com/developer/article/1678884,2024-10-10,
光纤同轴电缆混合网 (HFC),10-100 Mbps,1 Gbps,高,华为,https://www.iyusou.com/,2024-10-10,
LTE网络,50 Mbps,300 Mbps,中,CSDN,https://blog.csdn.net/weixin_42386609/article/details/129741990,2024-10-10,
光纤接入,2 Gbps,20 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
卫星宽带,5 Mbps,25 Mbps,中,空间科技网,http://www.space-tech.com,,
无线光通信,250 Mbps,1 Gbps,高,IEEE,https://www.ieee.org,,
5G网络,300 Mbps,1.5 Gbps,中,中国移动,https://www.chinamobileltd.com,,
光纤到户（FTTH）,10 Gbps,100 Gbps,高,光纤中国,https://www.fiberchina.com,,
数字用户线（VDSL）,20 Mbps,100 Mbps,中,华为技术,https://www.huawei.com,,
全光网,10 Gbps,80 Gbps,高,央广网,https://www.cnr.cn,,
固定无线接入,50 Mbps,100 Mbps,中,网信科技,http://www.ncc.gov.cn,,
局域网（LAN）,1 Gbps,1 Gbps,高,网络技术研究院,https://www.networktech.org,,
光纤同轴电缆混合网 (HFC),30 Mbps,500 Mbps,高,电信网,https://www.telecom.com,,
云计算网络,2 Gbps,15 Gbps,高,阿里云,https://www.aliyun.com,,
HSDPA网络,5 Mbps,42 Mbps,中,联想云,https://www.lenovo.com,,
超高速光纤网络,4 Gbps,40 Gbps,高,碧桂园科技,https://www.bgy.com,,
WiMAX网络,10 Mbps,70 Mbps,中,国际通信,https://www.icc.com,,
区域光纤网络,1 Gbps,30 Gbps,高,光网科技,https://www.lightnet.com,,
蓝牙网络,3 Mbps,24 Mbps,低,蓝牙软件协会,https://www.bluetooth.com,,
数字电视频道,20 Mbps,15 Mbps,中,央视网,https://www.cctv.com,,
5G NR网络,1 Gbps,20 Gbps,高,电信研究院,https://www.itsc.co/,,
光纤接入网络 (FTTH),2 Gbps,10 Gbps,高,新华网,https://www.xinhuanet.com/,,
卫星互联网,30 Mbps,100 Mbps,中,太空网络,https://www.spacenet.com/,,
Wi-Fi 6,500 Mbps,4 Gbps,中,网络技术前沿,https://www.nettechfrontier.com/,,
以太网,10 Gbps,10 Gbps,高,IEEE,https://www.ieee.org/,,
DSL (VDSL),80 Mbps,100 Mbps,高,CNET,https://www.cnet.com/,,
LPWAN（低功耗广域网）,50 kbps,50 kbps,中,物联网世界,https://www.iotworld.com/,,
PON（无源光网络）,1 Gbps,2.5 Gbps,高,光纤在线,https://www.opticalfiberonline.com/,,
城域网（MAN）,4 Gbps,4 Gbps,高,科技日报,https://www.stdaily.com/,,
CDMA无线网络,150 Mbps,300 Mbps,中,设备制造商,https://www.device-manufacturer.com/,,
宽带移动网络,300 Mbps,3 Gbps,高,移动通信杂志,https://www.mobilecommjournal.com/,,
 fiber to the curb (FTTC),100 Mbps,1 Gbps,高,科学网,https://www.sciencenet.cn/,,
Mesh网络,200 Mbps,1 Gbps,中,网络与信息,https://www.networkinfo.org/,,
NBN（国家宽带网络）,50 Mbps,1 Gbps,高,澳大利亚基础设施局,https://www.nbn.gov.au/,,
硬件网络（Cable) ,30 Mbps,350 Mbps,中,网络设备厂商,https://www.networkdevice.com/,,
虚拟专用网络 (VPN),100 Mbps,500 Mbps,高,Cybersecurity Insider,https://www.cybersecurityinsider.com/,,
LoRaWAN,1 kbps,10 kbps,中,物联网聚焦,https://www.iotfocus.com/,,
P2P网络,250 Mbps,400 Mbps,中,Distributed Network Magazine,https://www.dnmagazine.com/,,
光纤接入,2 Gbps,20 Gbps,高,京东云,https://www.jdcloud.com,,
宽带接入服务 (DSL),1 Mbps,10 Mbps,中,网易云,https://www.163.com,,
5G网络,600 Mbps,1.5 Gbps,高,中国移动,https://www.chinaMobile.com,,
Satellite Internet,25 Mbps,100 Mbps,中,SpaceX,https://www.spacex.com,,
光纤同轴电缆混合网 (HFC),150 Mbps,800 Mbps,高,中兴通讯,https://www.zte.com.cn,,
Cable Modem,30 Mbps,200 Mbps,中,有线电视网络公司,https://www.cable.com,,
光纤接入,1 Gbps,10 Gbps,高,阿里云,https://www.aliyun.com,,
T1线接入,1.5 Mbps,1.5 Mbps,高,AT&T,https://www.att.com,,
Ethernet接入,10 Gbps,10 Gbps,高,思科系统公司,https://www.cisco.com,,
移动宽带,40 Mbps,150 Mbps,中,Verizon,https://www.verizon.com,,
微波无线接入,100 Mbps,400 Mbps,中,华为商事,https://www.huawei.com,,
FTTH,1 Gbps,10 Gbps,高,中国联通,https://www.chinaunicom.com,,
3G网络,2 Mbps,10 Mbps,低,中国电信,https://www.chinatelecom.com,,
SD-WAN,10 Mbps,50 Mbps,高,Aruba Networks,https://www.arubanetworks.com,,
旁路网络接入,5 Mbps,25 Mbps,中,地方电信局,https://www.localtel.com,,
Wi-Fi 6网络,1 Gbps,4 Gbps,高,高通,https://www.qualcomm.com,,
LONI网络,200 Mbps,1 Gbps,中,南方电话公司,https://www.southerntelephone.com,,
光纤接入,2 Gbps,20 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
卫星通信网络,100 Mbps,500 Mbps,低,中国卫通,https://www.chinasatcom.com/,,
光纤到户（FTTH）,1.5 Gbps,10 Gbps,高,爱立信,https://www.ericsson.com/,,
DOCSIS 3.1,1 Gbps,5 Gbps,中,思科,https://www.cisco.com/,,
5G网络,100 Mbps,1 Gbps,中,移动通信,https://www.chinamobileltd.com/,,
微波通信,80 Mbps,300 Mbps,低,华为,https://www.huawei.com/,,
局域网络（LAN）,1 Gbps,1 Gbps,高,Intel,https://www.intel.com/,,
光纤广播,500 Mbps,3 Gbps,高,TCL,https://www.tcl.com/,,
低空互联网,50 Mbps,800 Mbps,中,亚马逊网络服务,https://aws.amazon.com/,,
全光网络,10 Gbps,100 Gbps,高,AT&T,https://www.att.com/,,
有线电视接入,500 Kbps,4 Mbps,低,袜子装置网络,https://www.netflix.com/,,
无线局域网（Wi-Fi）,200 Mbps,600 Mbps,高,TP-Link,https://www.tp-link.com/,,
车载网络,30 Mbps,150 Mbps,低,特斯拉科技,https://www.tesla.com/,,
纳米光子通信,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
增强型DSL,500 Mbps,1 Gbps,中,中国电信,https://www.chinatelecom.com.cn/,,
人工智能重构网络,10 Mbps,150 Mbps,高,高通,https://www.qualcomm.com/,,
量子通信网络,尚未确定,尚未确定,高,上海交通大学,https://www.sjtu.edu.cn/,,
光纤接入,10 Gbps,25 Gbps,高,PTA网络,https://www.ptanetwork.com/,,
VDSL2,800 kbps,50 Mbps,中,光纤日报,https://www.opticaldaily.com/,,
数字用户线（ADSL）,1 Mbps,12 Mbps,中,中国信息通信研究院,https://www.caiwang.com/,,
无线接入（Wi-Fi 6）,1.2 Gbps,4.8 Gbps,高,网络技术网,https://www.networktech.cn/,,
光纤同轴电缆混合网 (HFC),30 Mbps,500 Mbps,高,智游网,https://www.smartnetwork.com/,,
LTE网络,100 Mbps,300 Mbps,中,5G应用中心,https://www.5gapp.com/,,
5G网络,1 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn/,,
光纤接入,2 Gbps,20 Gbps,高,新华网,https://www.xinhuanet.com/,,
DSL技术（ADSL2+）,1.5 Mbps,24 Mbps,中,中国网络协会,https://www.cnnic.net.cn/,,
光纤宽带,5 Gbps,100 Gbps,高,宜信科技,https://www.yixinc.com/,,
混合光纤同轴电缆网,15 Mbps,1.5 Gbps,中,电信在线,https://www.telecom.com/,,
光瓦片技术,1.5 Gbps,3.5 Gbps,高,全球科技网,https://www.globaltech.com/,,
全光网,8 Gbps,30 Gbps,高,全国宽带网,https://www.nationalbb.com/,,
窄带物联网,5 kbps,0.5 Mbps,高,物联网国际,https://www.iotworld.com/,,
未来网络技术,3 Gbps,12 Gbps,中,数字未来,https://www.digitalfuture.com/,,
边缘计算网络,500 Mbps,2 Gbps,高,边缘科技,https://www.edge-tech.com/,,
