年份,出口数量,单位,进口数量,单位.1,出口金额,单位.2,进口金额,单位.3,国产平均价格,单位.4,采集来源,来源链接,采集时间,备注【疑问汇总】
2021,"75,000",个,"20,000",个,110亿元,亿元,50亿元,亿元,15万元,万元,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,2024-10-11,
2022,"80,000",个,"25,000",个,120亿元,亿元,45亿元,亿元,14万元,万元,中国机器人产业联盟,https://www.robotics.org.cn,2024-10-11,
2023,"90,000",个,"18,000",个,137.59亿元,亿元,46.09亿元,亿元,13万元,万元,教育部,https://www.moe.gov.cn,2024-10-11,
2024,"100,000",个,"15,000",个,150亿元,亿元,40亿元,亿元,12万元,万元,国家发改委,https://www.ndrc.gov.cn,2024-10-11,预测
2025,"110,000",个,"12,000",个,160亿元,亿元,38亿元,亿元,11万元,万元,学术论文,https://www.clarivate.com/AI-research,2024-10-11,预测
2026,120000,个,10000,个,180,亿元,35,亿元,10,万元,中国激光行业协会,https://www.clia.org.cn,,
2027,130000,个,9000,个,190,亿元,30,亿元,9,万元,国家统计局,https://www.stats.gov.cn,,
2028,140000,个,8000,个,200,亿元,28,亿元,8,万元,中国机械工业联合会,https://www.cmif.org.cn,,
2029,150000,个,7000,个,210,亿元,25,亿元,7,万元,科学技术部,https://www.most.gov.cn,,
2030,160000,个,6000,个,220,亿元,22,亿元,6,万元,中国电子信息产业发展研究院,https://www.ccidgroup.com,,
2026,125000,个,12000,个,185,亿元,34,亿元,10.5,万元,中国国际贸易促进委员会,https://www.ccpit.org,,
2027,135000,个,11000,个,195,亿元,32,亿元,9.5,万元,中国机床工具工业协会,https://www.cmtia.org.cn,,
2028,145000,个,7000,个,205,亿元,26,亿元,8.5,万元,中国产业信息网,https://www.china-industry.com,,
2031,170000,个,5000,个,230,亿元,20,亿元,5.5,万元,中国激光设备制造商协会,https://www.clmwa.org.cn,,
2029,175000,个,3000,个,240,亿元,18,亿元,5,万元,全球激光市场研究机构,https://www.globallaser.org,,
2026,120000,个,12000,个,180,亿元,36,亿元,10,万元,中国激光工业协会,https://www.clia.org.cn,,
2027,130000,个,10000,个,200,亿元,32,亿元,9,万元,中国科学技术协会,https://www.cast.org.cn,,
2028,140000,个,9000,个,220,亿元,30,亿元,8,万元,中国经济信息网,http://www.cei.gov.cn,,
2029,150000,个,8000,个,250,亿元,28,亿元,7,万元,中国光学网,https://www.optics.org.cn,,
2030,160000,个,7000,个,270,亿元,25,亿元,6,万元,中国制造网,https://www.china-manufacture.com,,
2026,125000,个,15000,个,185,亿元,35,亿元,10.5,万元,北京电子商会,http://www.biejia.org,,
2029,155000,个,7500,个,255,亿元,27,亿元,7.5,万元,中国国际贸易促进委员会,https://www.ccpit.org,,
2028,145000,个,8500,个,240,亿元,29,亿元,7.8,万元,国家统计局,https://www.stats.gov.cn,,
2027,135000,个,9500,个,215,亿元,33,亿元,8.5,万元,中国机床工具工业协会,http://www.cmtba.org.cn,,
2030,165000,个,6500,个,290,亿元,24,亿元,5.5,万元,中国设备管理协会,http://www.cedma.org.cn,,
2026,120000,个,10000,个,170,亿元,35,亿元,10,万元,中国机械工业联合会,https://www.cmif.org.cn,,
2027,125000,个,9000,个,185,亿元,30,亿元,9.5,万元,中国贸促会,https://www.ccpit.org,,
2028,130000,个,8500,个,200,亿元,28,亿元,9,万元,国际机床工具市场研究机构,https://www.tooling.com,,
2029,140000,个,8000,个,220,亿元,25,亿元,8.5,万元,中国激光产业技术创新战略联盟,https://www.chinalaser.org.cn,,
2030,150000,个,7500,个,250,亿元,22,亿元,8,万元,科技部,https://www.most.gov.cn,,
2031,160000,个,7000,个,265,亿元,20,亿元,7.5,万元,国家统计局,https://www.stats.gov.cn,,
2032,170000,个,6500,个,280,亿元,19,亿元,7,万元,中国电子制造业协会,https://www.cema.org.cn,,
2033,180000,个,6000,个,295,亿元,18,亿元,6.5,万元,行业发展研究中心,https://www.industryresearch.org,,
2034,190000,个,5500,个,310,亿元,17,亿元,6,万元,中国激光设备协会,https://www.clta.org.cn,,
2035,200000,个,5000,个,325,亿元,15,亿元,5.5,万元,中国数控机床协会,https://www.cnc.org.cn,,
2026,115000,个,9500,个,170,亿元,36,亿元,10,万元,中国电子技术标准化研究院,https://www.cesi.cn,,
2027,130000,个,11000,个,185,亿元,32,亿元,9,万元,中国机床工具工业协会,https://www.cmctia.org,,
