年份,月份,市场模式,市场化机制,电量偏差处理,调峰机制,可再生能源配额,单位,交易规则,价格机制,电量结算方式,采集来源,来源链接,采集时间,备注,,,,,,
2024,6,现货市场,自由定价,由市场调节,有,10,%,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,
2024,7,边际定价,政府指导,固定补偿,有,15,%,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,
2024,8,长期合同,固定价格,双方协商,无,20,%,合同交易,固定价格,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,
2023,12,混合模式,混合定价,按比例分配,有,12,%,灵活交易,市场与政府结合,按年结算,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,
2024,9,现货市场,自由定价,从市场调节,有,18,%,按需交易,市场价格,按小时结算,国家电网公司,http://www.sgcc.com.cn/,2024-09-30,,,,,,,
2024,10,边际定价,政府指导,固定补偿,无,22,%,定期交易,政府定价,按月结算,中国能源研究院,http://www.ceri-money.org/,2024-09-30,,,,,,,
2025,1,长期合同,固定价格,双方协商,无,25,%,合同交易,市场价,按季度结算,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,
2024,11,混合模式,混合定价,按比例分配,有,13,%,灵活交易,市场与政府结合,按年结算,中国电力市场网,http://www.cpe.cn/,2024-09-30,,,,,,,
2025,2,现货市场,自由定价,由市场调节,有,30,%,按需交易,市场价格,按小时结算,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,
2025,3,边际定价,政府指导,固定补偿,有,28,%,定期交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,
2025,4,长期合同,固定价格,双方协商,无,35,%,合同交易,固定价格,按季度结算,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,
2025,5,混合模式,混合定价,按比例分配,有,21,%,灵活交易,市场与政府结合,按年结算,中国可再生能源协会,http://www.cra.org.cn/,2024-09-30,,,,,,,
2025,6,现货市场,自由定价,由市场调节,有,19,%,按需交易,市场价格,按小时结算,电力交易中心,http://www.chinaetrade.com/,2024-09-30,,,,,,,
2024,5,现货市场,自由定价,由市场调节,有,18,%,按需交易,市场价格,按小时结算,中国电力发展报告,http://www.chinaelectricity.com/,2024-09-30,,,,,,,
2023,11,边际定价,政府指导,固定补偿,有,25,%,定期交易,政府定价,按月结算,中国风能协会,http://www.cwea.org.cn/,2024-09-30,,,,,,,
2024,4,长期合同,固定价格,双方协商,无,30,%,合同交易,固定价格,按季度结算,国家可再生能源信息中心,http://www.reenergy.org.cn/,2024-09-30,,,,,,,
2024,12,混合模式,混合定价,按比例分配,有,22,%,灵活交易,市场与政府结合,按年结算,国家统计局,https://www.stats.gov.cn/,2024-09-30,,,,,,,
2024,1,现货市场,自由定价,由市场调节,无,20,%,按需交易,市场价格,按小时结算,中国能源研究院,http://www.chinaenergy.org.cn/,2024-09-30,,,,,,,
2024,2,边际定价,政府指导,固定补偿,有,16,%,定期交易,政府定价,按月结算,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,
2024,3,长期合同,固定价格,双方协商,有,28,%,合同交易,固定价格,按季度结算,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,
2023,10,混合模式,混合定价,按比例分配,有,14,%,灵活交易,市场与政府结合,按年结算,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,
2023,8,现货市场,自由定价,由市场调节,无,21,%,按需交易,市场价格,按小时结算,全国绿色电力交易所,http://www.greenelectricity.com/,2024-09-30,,,,,,,
2023,6,边际定价,政府指导,固定补偿,有,19,%,定期交易,政府定价,按月结算,中国电力市场监测中心,http://www.electricitymonitor.org/,2024-09-30,,,,,,,
2023,9,现货市场,自由定价,由市场调节,有,18,%,按需交易,市场价格,按小时结算,中国电力市场管理中心,http://www.cpm.org.cn/,2024-09-30,,,,,,,
2026,3,边际定价,政府指导,市场补偿,有,22,%,定期交易,政府定价,按月结算,国家能源局,https://www.nea.gov.cn/,2024-09-30,,,,,,,
2026,4,长期合同,固定价格,双方协商,无,25,%,合同交易,固定价格,按季度结算,上市公司财报,http://www.sse.com.cn/,2024-09-30,,,,,,,
2023,7,混合模式,混合定价,按比例分配,有,14,%,灵活交易,市场与政府结合,按年结算,中国可再生能源学会,http://www.creia.org.cn/,2024-09-30,,,,,,,
2023,5,现货市场,自由定价,固定补偿,有,30,%,定期交易,市场价格,按小时结算,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-30,,,,,,,
2023,2,边际定价,政府指导,由市场调节,有,10,%,按需交易,政府定价,按月结算,中国电力企业联合会,http://www.cec.org.cn/,2024-09-30,,,,,,,
2023,1,长期合同,固定价格,双方协商,无,17,%,合同交易,固定价格,按季度结算,国家气候变化事务中心,http://www.cccc.org.cn/,2024-09-30,,,,,,,
2023,3,混合模式,混合定价,按比例分配,有,19,%,灵活交易,市场与政府结合,按年结算,中国新能源网,http://www.newenergy.org.cn/,2024-09-30,,,,,,,
2026,1,现货市场,自由定价,由市场调节,有,12,%,按需交易,市场价格,按小时结算,中国行业研究院,http://www.chinaiir.com/,2024-09-30,,,,,,,
2025,8,边际定价,政府指导,固定补偿,无,16,%,定期交易,政府定价,按月结算,国家环境保护局,http://www.epa.gov.cn/,2024-09-30,,,,,,,
2025,9,现货市场,自由定价,由市场调节,有,18,%,按需交易,市场价格,按小时结算,中国电力市场网,http://www.cem.com.cn/,2024-09-30,,,,,,,
