银行名称（字符型）,海洋业务（字符型）,业务规模（数值型）,单位,业务规则（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
中国银行,海洋信贷,500,亿元,风险控制与评估,中国改革论坛,http://www.chinareform.org.cn/2024/0202/39127.shtml,2024-10-12,,,,,,,,,,,,,
建设银行,海洋资源开发贷款,300,亿元,项目审核与监控,国家发展改革委,https://www.ndrc.gov.cn/xwdt/ztzl/NEW_srxxgcjjpjjsx/yjcg/zw/202404/t20240419_1365787.html,2024-10-12,,,,,,,,,,,,,
工商银行,海洋渔业信贷,200,亿元,贷款利率优惠,联合国海洋法公约,https://www.un.org/Depts/los/convention_agreements/texts/unclos/unclos_c.pdf,2024-10-12,,,,,,,,,,,,,
农业银行,海洋生态项目融资,150,亿元,环保合规要求,海洋生态环境保护规划,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk03/202202/W020220222382120532016.pdf,2024-10-12,,,,,,,,,,,,,
招商银行,海洋科技创新贷款,100,亿元,技术评估,中国海洋经济发展报告,http://www.chinareform.org.cn/2024/0202/39127.shtml,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋运输信贷,80,亿元,船舶抵押贷款,国家发展改革委,https://www.ndrc.gov.cn/xwdt/ztzl/NEW_srxxgcjjpjjsx/yjcg/zw/202404/t20240419_1365787.html,2024-10-12,,,,,,,,,,,,,
中信银行,海洋旅游融资,60,亿元,项目风险评估,联合国海洋法公约,https://www.un.org/Depts/los/convention_agreements/texts/unclos/unclos_c.pdf,2024-10-12,,,,,,,,,,,,,
中国农业银行,深海渔业发展贷款,250,亿元,动态利率管理,中国海洋经济研究中心,http://www.cmeic.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋监测与科技融资,120,亿元,项目审核与补贴,海洋科技创新发展报告,https://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信证券,海洋工程建设贷款,400,亿元,信用评级审核,海洋产业发展规划,http://www.soa.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海底资源开发信贷,180,亿元,环境影响评估,国家环境保护部,https://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋可再生能源投资贷款,350,亿元,技术审核与助贷机制,可再生能源发展报告,http://www.neea.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋运输与物流融资,90,亿元,抵押物风险评估,中国物流与采购联合会,http://www.chinawuliu.com/,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋科技创业资本,75,亿元,企业财务分析,中国科技创新网,http://www.innovation.cn/,2024-10-12,,,,,,,,,,,,,
招商银行,海洋农渔合作社贷款,160,亿元,社会责任审核,中国农业部,http://www.moa.gov.cn/,2024-10-12,,,,,,,,,,,,,
平安银行,深海科技研究信贷,220,亿元,合作协议签署,海洋科技发展战略平台,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
第一创业证券,智能海洋运输信贷,70,亿元,借款人信用评估,智能财务研究院,https://www.iiwi.org/,2024-10-12,,,,,,,,,,,,,
浦发银行,深海渔业贷款,250,亿元,售后服务保障,中国海洋经济发展报告,http://www.chinareform.org.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋矿产开发融资,400,亿元,投资风险评估,海洋资源开发与管理委员会,http://www.mnr.gov.cn/,2024-10-12,,,,,,,,,,,,,
光大银行,海洋科技项目贷款,180,亿元,合规审查流程,海洋科技创新中心,http://www.most.gov.cn/,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生态保护项目融资,120,亿元,环保审核机制,国家环境保护局,http://www.mee.gov.cn/,2024-10-12,,,,,,,,,,,,,
招商局银行,海洋运输与物流融资,90,亿元,合同审核与管理,国家交通运输部,http://www.mot.gov.cn/,2024-10-12,,,,,,,,,,,,,
华夏银行,深海探索信贷,110,亿元,项目提交与审查,中国深海开发研究院,http://www.cmr.gov.cn/,2024-10-12,,,,,,,,,,,,,
中信信托,海洋文化项目投资,75,亿元,文化资产评估,文化和旅游部,http://www.mct.gov.cn/,2024-10-12,,,,,,,,,,,,,
宁波银行,海洋环境保护贷款,60,亿元,环境影响评估,海洋环境监测中心,http://www.cma.gov.cn/,2024-10-12,,,,,,,,,,,,,
徽商银行,海洋可再生能源融资,130,亿元,资源评估与规划,国家能源局,http://www.nea.gov.cn/,2024-10-12,,,,,,,,,,,,,
大连银行,海洋“一带一路”项目贷款,290,亿元,风险控制与保障机制,国家发改委,http://www.ndrc.gov.cn/,2024-10-12,,,,,,,,,,,,,
交通银行,海洋可再生能源贷款,120,亿元,投资回报分析,中国海洋经济研究中心,https://www.cmeii.org,2024-10-12,,,,,,,,,,,,,
浦发银行,海洋生态修复融资,90,亿元,环境影响评估,中国环境保护部,https://www.mee.gov.cn,2024-10-12,,,,,,,,,,,,,
民生银行,海洋生物科技贷款,75,亿元,技术可行性分析,国家海洋局,http://www.soa.gov.cn,2024-10-12,,,,,,,,,,,,,
兴业银行,海洋食品产业信贷,200,亿元,市场需求预测,中国食品工业协会,http://www.cfda.org.cn,2024-10-12,,,,,,,,,,,,,
光大银行,海洋科技研发贷款,50,亿元,研发费用审核,中国海洋科技发展报告,https://www.cmr.gov.cn,2024-10-12,,,,,,,,,,,,,
中信银行,深海探测项目融资,110,亿元,项目立项评审,中国科技部,http://www.most.gov.cn,2024-10-12,,,,,,,,,,,,,
华夏银行,海洋文化旅游信贷,85,亿元,资产评估,国家旅游局,http://www.cntravel.gov.cn,2024-10-12,,,,,,,,,,,,,
