登记号（字符型）,育种技术名称（字符型）,育种技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,规范企业名称（字符型）.1,采集来源,来源链接,采集时间,备注,,,
MF030481,转基因水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,江苏省农业科学院,南京农业大学,2023-01-15,2023-02-01,2024-02-01,2024-01-01,江苏世和生物科技有限公司,新品种审定申请,江苏世和生物科技有限公司,江苏省农业农村厅,https://www.zgjssw.gov.cn/shixianchuanzhen/nanjing/202404/t20240421_8254142.shtml,2024/9/30,,,,
MF035562,抗病小麦育种技术,常规育种,已完成,第二阶段,区域试验,山东省农科院,山东农业大学,2023-03-10,2023-04-01,2024-04-01,2024-03-01,山东良种科技有限公司,新品种审定申请,山东良种科技有限公司,山东省农业农村厅,https://www.zgjssw.gov.cn/shixianchuanzhen/nanjing/202404/t20240421_8254142.shtml,2024/9/30,,,,
MF778092,高产玉米育种技术,常规育种,正在进行,第一阶段,初步试验,河南省农科院,河南农业大学,2023-05-20,2023-06-01,2024-06-01,2024-05-01,河南良种科技有限公司,新品种审定申请,河南良种科技有限公司,河南省农业农村厅,https://www.zgjssw.gov.cn/shixianchuanzhen/nanjing/202404/t20240421_8254142.shtml,2024/9/30,,,,
MF996253,抗旱大豆育种技术,转基因育种,正在进行,第三阶段,大田试验,安徽省农科院,安徽农业大学,2023-07-25,2023-08-01,2024-08-01,2024-07-01,安徽良种科技有限公司,新品种审定申请,安徽良种科技有限公司,安徽省农业农村厅,https://www.zgjssw.gov.cn/shixianchuanzhen/nanjing/202404/t20240421_8254142.shtml,2024/9/30,,,,
MF635142,抗虫棉花育种技术,常规育种,已完成,第二阶段,区域试验,广东省农科院,广东农业大学,2023-09-05,2023-10-01,2024-10-01,2024-09-01,广东良种科技有限公司,新品种审定申请,广东良种科技有限公司 , 广东省农业农村厅 ,https://www.zgjssw.gov.cn/shixianchuanzhen/nanjing/202404/t20240421_8254142.shtml,2024/9/30,,,,
MF030481,抗旱玉米育种技术,转基因育种,正在进行,第一阶段,初步试验,甘肃省农科学院,甘肃农业大学,2023-06-15,2023-07-01,2024-07-01,2024-06-01,甘肃良种科技有限公司,新品种审定申请,甘肃良种科技有限公司,甘肃省农业农村厅,https://www.gansusw.gov.cn/,2024/9/30,,,,
MF035562,抗逆性水稻育种技术,常规育种,已完成,第二阶段,区域试验,湖南省农科院,湖南农业大学,2023-04-20,2023-05-01,2024-05-01,2024-04-01,湖南良种科技有限公司,新品种审定申请,湖南良种科技有限公司,湖南省农业农村厅,https://www.hunanagri.gov.cn/,2024/9/30,,,,
MF778092,富硒大米育种技术,常规育种,正在进行,第三阶段,大田试验,湖北省农科院,湖北农业大学,2023-08-10,2023-09-01,2024-09-01,2024-08-01,湖北良种科技有限公司,新品种审定申请,湖北良种科技有限公司,湖北省农业农村厅,https://www.hubei.gov.cn/,2024/9/30,,,,
MF996253,优质花生育种技术,常规育种,已完成,第二阶段,区域试验,四川省农科院,四川农业大学,2023-05-12,2023-06-01,2024-06-01,2024-05-01,四川良种科技有限公司,新品种审定申请,四川良种科技有限公司,四川省农业农村厅,https://www.scagri.gov.cn/,2024/9/30,,,,
MF030490,抗盐碱水稻育种技术,转基因育种,正在进行,第一阶段,初步试验,天津市农业科学院,天津农学院,2023-09-05,2023-10-01,2024-10-01,2024-09-01,天津良种科技有限公司,新品种审定申请,天津良种科技有限公司,天津市农业农村厅,https://www.tianjin.gov.cn/,2024/9/30,,,,
MF737405,高抗性草莓育种技术,常规育种,已完成,第三阶段,大田试验,浙江省农科院,浙江农业大学,2023-06-25,2023-07-15,2024-07-15,2024-06-15,浙江良种科技有限公司,新品种审定申请,浙江良种科技有限公司,浙江省农业农村厅,https://www.zj.gov.cn/,2024/9/30,,,,
MF035586,耐寒苹果育种技术,转基因育种,正在进行,第一阶段,初步试验,黑龙江省农科院,黑龙江农业大学,2023-04-05,2023-05-01,2024-05-01,2024-04-01,黑龙江良种科技有限公司,新品种审定申请,黑龙江良种科技有限公司,黑龙江省农业农村厅,https://www.hlj.gov.cn/,2024/9/30,,,,
MF779985,抗虫青菜育种技术,常规育种,已完成,第二阶段,区域试验,福建省农科院,福建农业大学,2023-07-15,2023-08-01,2024-08-01,2024-07-01,福建良种科技有限公司,新品种审定申请,福建良种科技有限公司,福建省农业农村厅,https://www.fujian.gov.cn/,2024/9/30,,,,
MF658312,高产红薯育种技术,常规育种,正在进行,第一阶段,初步试验,云南省农科院,云南农业大学,2023-10-01,2023-10-15,2024-10-15,2024-09-15,云南良种科技有限公司,新品种审定申请,云南良种科技有限公司,云南省农业农村厅,https://www.yn.gov.cn/,2024/9/30,,,,
MF030481,营养强化水稻育种技术,常规育种,正在进行,初步试验,初步试验,广西省农村发展科学院,广西大学,2023-10-10,2023-11-01,2024-11-01,2024-10-01,广西现代农业科技有限公司,新品种审定申请,广西现代农业科技有限公司,广西省农业农村厅,https://www.gxagri.gov.cn/,2024/9/30,,,,
MF035562,抗寒苹果育种技术,常规育种,已完成,第二阶段,大田试验,黑龙江省农业科学院,黑龙江八一农垦大学,2023-08-15,2023-09-01,2024-09-01,2024-08-01,黑龙江果业科技集团,新品种审定申请,黑龙江果业科技集团,黑龙江省农业农村厅,https://www.hljagri.gov.cn/,2024/9/30,,,,
MF778092,高产甜椒育种技术,常规育种,正在进行,第一阶段,初步试验,浙江省农业科学院,浙江大学,2023-09-12,2023-09-30,2024-09-30,2024-08-30,浙江绿源农业科技有限公司,新品种审定申请,浙江绿源农业科技有限公司,浙江省农业农村厅,https://www.zj.gov.cn/agriculture/,2024/9/30,,,,
