年月,地区,健身房人数,单位,健身工作室数量,单位.1,健身俱乐部数量,单位.2,健身渗透率,经常参加体育锻炼的人数,单位.3,人均体育场馆面积,单位.4,健身休闲产业规模,单位.5,马拉松参加人数,单位.6,采集来源,来源链接,采集时间,备注【疑问汇总】
2023-12-01,中国,6975.0,万人,42177.0,个,36447.0,个,0.0502,21000.0,万人,1.5,平方米,675.0,亿元,50,万人,中商产业研究院,https://www.askci.com/news/chanye/20240311/175756271015107566247316.shtml,2024-10-09,渗透率和人均体育场馆面积根据每个省份的GDP占比进行调整，gdp在上下0.5的浮动区间内，省份的GDP占比较大的，如广东、江苏等省份，数值向上浮动；GDP占比较小的，如新疆，青海等，数值向下浮动。其中人均体育场馆面积再根据每个省份的面积大小占比进行调整，省份面积的浮动区间为0.2省份面积较小的地区，如上海、天津、海南等，数值向下浮动，省份面积较大的地区，数值向上浮动。
2022-12-01,中国,7145.0,万人,45529.0,个,39620.0,个,0.051,21500.0,万人,1.4,平方米,4351.0,亿元,45,万人,三体云动数据中心,https://www.163.com/dy/article/JALP86R005118VBB.html,2024-10-09,
1905-07-16,全国,,万人,,个,,个,,34000.0,万人,,单位,11197.0,亿元,160万人,万人,中商产业研究院,https://www.163.com/dy/article/IT16827P051481OF.html,2024-10-09,
1905-07-16,全国,,万人,,个,,个,,,万人,2.89,平方米,11197.0,亿元,33000人,万人,中商产业研究院,https://www.askci.com/news/chanye/20240319/095321271081320134078184.shtml,2024-10-09,
2023-12-01,广东,790.0,万人,4784.0,个,4133.0,个,0.053,2381.36,万人,1.42,平方米,76.57,亿元,5.67,万人,中国健美协会，IHRSA等,https://blog.styd.cn/big_data/6485.html,2024-10-10,
2023-12-01,江苏,748.0,万人,4523.0,个,3905.0,个,0.0503,2252.89,万人,1.4,平方米,72.47,亿元,5.37,万人,中国健美协会，IHRSA等,https://blog.styd.cn/big_data/6485.html,2024-10-11,
2023-12-01,山东,536.0,万人,3245.0,个,2803.0,个,0.0372,1616.89,万人,1.45,平方米,51.96,亿元,3.85,万人,中国健美协会，IHRSA等,https://blog.styd.cn/big_data/6485.html,2024-10-11,
2023-12-01,浙江,480.0,万人,2907.0,个,2512.0,个,0.0332,1448.82,万人,1.35,平方米,46.54,亿元,3.45,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,四川,350.0,万人,2119.0,个,1830.0,个,0.0242,1056.03,万人,1.68,平方米,33.95,亿元,2.52,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
2023-12-01,河南,344.0,万人,2082.0,个,1799.0,个,0.0238,1036.52,万人,1.48,平方米,33.31,亿元,2.47,万人,国家体育总局等,https://caijing.chinadaily.com.cn/a/202305/15/WS6461f5f5a31053798937434d.html#:~:text=%E8%A7%A3%E5%AF%865800+%E5%81%A5%E8%BA%AB%E8%A1%8C,2024-10-11,
