核心技术名称,所属产业类别,核心零部件,技术重要性评分,功能描述,掌握该项技术的企业,数据类型,采集来源,来源链接,采集时间,备注,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
精密铸造技术,制造业,铸造模具,7,实现复杂零件的高精度铸造,德国施耐德电气,字符型,企业白皮书,https://www.se.com/cn/en/work/solutions/precision-casting.jsp,2024-09-26,,,,,,,,,,
精密激光焊接技术,汽车制造,焊接设备,8,提升焊接质量，减少热影响区,日本松下,字符型,产品说明书,https://www.panasonic.com/global/corporate/technology/laser-welding.html,2024-09-26,,,,,,,,,,
柔性制造系统,制造业,自动化机器人,7,允许多种产品在同一条生产线上灵活制造,瑞士ABB,字符型,公司官网,https://global.abb/robotics,2024-09-26,,,,,,,,,,
虚拟现实技术,信息技术,VR头盔,8,提供沉浸式体验的技术,Facebook Oculus,字符型,行业报告,https://www.oculus.com,2024-09-26,,,,,,,,,,
高效电机驱动技术,电气工程,电动机,9,优化电动机的能效和性能，以减少能源消耗,美国GE,字符型,工业杂志,https://www.ge.com/news/reports,2024-09-26,,,,,,,,,,
超导材料技术,能源,超导线圈,7,提高电能传输的效率,日本住友电气,字符型,科技前沿,https://global-sei.com,2024-09-26,,,,,,,,,,
高性能陶瓷材料,材料科学,陶瓷刀具,8,用于高温、高硬度的切削加工,日本KYOCERA,字符型,产品发布,https://www.kyocera.com/technology/products,2024-09-26,,,,,,,,,,
自动化视觉检测系统,质量控制,CCD相机,9,提高生产过程中质量检测的自动化,德国西门子,字符型,行业标准,https://www.siemens.com,2024-09-26,,,,,,,,,,
激光成形技术,制造业,激光发射器,9,利用激光技术进行高精度的金属成形和加工,德国Trumpf,字符型,行业报告,https://www.trumpf.com/en/about-trumpf/technology/laser-technology/,2024-09-26,,,,,,,,,,
增材制造技术,航空航天,3D打印机,10,通过逐层叠加的方式快速制造复杂部件,美国Stratasys,字符型,行业动态,https://www.stratasys.com/,2024-09-26,,,,,,,,,,
