核心技术名称,所属产业类别,核心零部件,技术重要性评分,单位,功能描述,掌握该项技术的企业,采集来源,来源链接,采集时间,备注,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,数控系统,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY08,2024-09-20,,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,伺服电机,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY09,2024-09-20,,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,编码器,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY10,2024-09-20,,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,光栅尺,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY11,2024-09-20,,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,滚珠丝杠,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY12,2024-09-20,,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,主轴,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY13,2024-09-20,,,,,,,,,,,
高端智能五轴数控系统,高端装备制造业,导轨,9,无,实现微米级的精密运动控制，整合国产供应链、完成人工智能算法和大语言模型的应用,深圳先进院,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY14,2024-09-20,,,,,,,,,,,
精密数控磨床和数控研磨抛光设备,数控机床,机床机架,8,无,专注于数控磨削设备等方面的业务，提供精密磨削和智能制造技术的综合解决方案,宇环数控,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY15,2024-09-20,,,,,,,,,,,
精密数控磨床和数控研磨抛光设备,数控机床,传动系统,8,无,专注于数控磨削设备等方面的业务，提供精密磨削和智能制造技术的综合解决方案,宇环数控,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY16,2024-09-20,,,,,,,,,,,
精密数控磨床和数控研磨抛光设备,数控机床,功能部件,8,无,专注于数控磨削设备等方面的业务，提供精密磨削和智能制造技术的综合解决方案,宇环数控,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY17,2024-09-20,,,,,,,,,,,
数控龙门导轨磨床,机床制造,机床机架,8,无,被多家机床制造企业当作工作母机用，并被应用于航空航天和军工等领域,华东数控,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY18,2024-09-20,,,,,,,,,,,
传动系统,机床制造,机床机架,8,无,被多家机床制造企业当作工作母机用，并被应用于航空航天和军工等领域,华东数控,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY19,2024-09-20,,,,,,,,,,,
高档数控系统,数控机床,数控系统,9,无,主要产品是华中8型高档数控系统和工业机器人及智能制造等,华中数控,中国科学院深圳先进技术研究院,https://new.qq.com/rain/a/20241008A06UBY20,2024-09-20,,,,,,,,,,,
