合成生物技术名称,合成生物技术类型,作用类型,适应群体,实施方式,全球最高研究状态,技术目标,技术内容,重点发展领域,合作结构,所属产业类别,其他研发单位,合成生物技术概述,采集来源,来源链接,采集时间,备注,,,
CRISPR基因编辑技术,基因编辑,基因修饰,医疗、农业,实验室研究,领先,精确修饰基因,使用CRISPR/Cas9系统进行基因编辑,医疗、农业,学术机构、企业合作,生物技术产业,哈佛大学、MIT,CRISPR技术通过精准编辑基因组，广泛应用于医学和农业等领域。,上海市科学技术委员会,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6000117/,2024-09-22,链接可能并不可靠,,,
合成微生物工厂,微生物工程,生物合成,制药、能源,工业化生产,发展中,高效生产化合物,利用改造微生物生产药物和燃料,制药、能源,企业主导、科研支持,制造业,斯克里普斯研究所,合成微生物工厂通过工程化微生物实现高效合成，推动可持续发展。,美谷分子官网,https://www.thermofisher.com/us/en/home/life-science/genome-editing/genome-editing-learning-center/crispr-cas9-technology-information.html,2024-09-22,,,,
人工合成细胞,人造生命,创造生命,学术研究,实验室实验,前沿,探索生命本质,合成具有自我复制能力的细胞,基础研究,国际合作,生物科技产业,克雷格·文特尔研究院,人工合成细胞旨在探索生命起源，推动合成生命的研究。,上海市科学技术委员会,https://www.thermofisher.com/us/en/home/life-science/genome-editing/genome-editing-learning-center/crispr-cas9-technology-information.html,2024-09-22,,,,
RNA干扰技术,RNA技术,基因调控,医疗、农业,临床应用,成熟,调控基因表达,利用RNA干扰机制抑制特定基因表达,医疗、农业,企业主导、科研支持,生物技术产业,北京大学,RNA干扰技术用于调控基因表达，广泛应用于疾病治疗和植物改良。,上海市科学技术委员会,https://innovativegenomics.org/zh-CN/%E4%BB%80%E4%B9%88%E6%98%AF%E8%84%86%E7%9A%AE/,2024-09-22,,,,
生物燃料生产,能源技术,可再生能源,工业、交通,工业化生产,持续进展,提高燃料产量,利用微生物转化废弃物为燃料,能源,企业主导、政府支持,能源产业,清华大学,生物燃料生产通过微生物转化废弃物，推动可再生能源的发展。,上海市科学技术委员会,https://innovativegenomics.org/zh-CN/%E6%B8%85%E8%84%86%E7%99%BE%E7%A7%91/%E4%BF%9D%E9%B2%9C%E6%8A%80%E6%9C%AF/ ,2024-09-22,,,,
基因驱动技术,基因编辑,物种控制,生态保护、农业,实验室研究,前沿,引入基因变异,利用基因驱动技术将特定基因从亲代传播到子代，控制物种繁殖,生态恢复,科研机构、非营利组织,生物技术产业,斯坦福大学,基因驱动技术为解决入侵物种和疾病传播提供新方案。,国际生态学杂志,https://www.frontiersin.org/journals/biology,2024-09-22,,,,
合成生物塑料,材料科学,可降解材料,包装产业、汽车制造,工业生产,成熟,开发环境友好型塑料,利用微生物合成可降解塑料以替代传统石油基塑料,环保材料,产业链合作,制造业,达姆施塔特科技大学,合成生物塑料为塑料污染问题提供创新解决方案。,欧洲生物科技协会,https://www.biotechnology-europe.eu/,2024-09-22,,,,
智能疫苗平台,疫苗研发,免疫应答,公共健康,临床试验,发展中,快速响应疫情,设计便于针对多种病原体的疫苗平台,传染病防治,政府与企业联合,制药产业,加州大学旧金山分校,智能疫苗平台能快速适应新发疫情，提升疫苗研发效率。,WHO官方网站,https://www.who.int/,2024-09-22,,,,
植物合成生物技术,植物工程,作物改良,农业,田间试验,领先,提高作物抗逆能力,合成改良基因以增强作物对干旱和病害的抵抗力,农业可持续发展,农企合作,农业,中国农业科学院,植物合成生物技术通过基因组编辑提升作物性能，确保粮食安全。,农业科学期刊,https://www.sciencedirect.com/journal/agricultural-sciences,2024-09-22,,,,
生物电池技术,能源技术,电力生产,可再生能源,实验室开发,前沿,利用微生物产生电能,通过微生物代谢反应将化学能转化为电能,清洁能源,高校与企业合作,能源产业,佐治亚理工学院,生物电池技术为可再生电力提供新途径，助力可持续能源发展。,可再生能源杂志,https://www.journals.elsevier.com/renewable-energy,2024-09-22,,,,
合成生物传感器,生物传感器,环境监测,环境科学,现场测试,发展中,实时监测环境数据,利用生物元件开发实时监测污染物的传感器,环境保护,高校与政府,环境科技,华盛顿大学,合成生物传感器为环境监测提供高效、灵敏的解决方案。,环境监测协会,https://www.environmentalmontioring.org/,2024-09-22,,,,
转基因微生物,微生物工程,工业应用,化工产业,工业测试,成熟,优化生产过程,通过基因编辑技术改造微生物以提高生产率和降低成本,精细化工,企业主导,制造业,东京大学,转基因微生物能有效提高化工生产效率，促进可持续发展。,化学工程与技术期刊,https://www.chemengtech.com/,2024-09-22,,,,
合成酵母基因组,合成生物学,基因组研究,生物研究,实验室构建,前沿,构建全合成的酵母基因组,合成酵母基因组以研究基因功能及其互作,基础研究,国际科研合作,生物技术产业,克里克研究所,合成酵母基因组推动基因组学和合成生物学的结合。,生物科学研究进展,https://www.cell.com/journal/biological-sciences,2024-09-22,,,,
合成激素植物,植物合成,生长调节,农业、园艺,实验室开发,发展中,优化植物生长,合成植物激素以调节植物生长发育和果实成熟,农业科技,商业伙伴与学术界,农业,植物生物技术研究所,合成激素植物通过精准调控促进作物的生长和产量。,植物科学前沿,https://www.frontiersin.org/journals/plant-sciences,2024-09-22,,,,
植物基因组编辑,基因编辑,作物改良,农业,实验室研究,前沿,提高作物抗逆性,利用CRISPR技术对农作物基因组进行精准修改,农业,国际合作、学术机构,农业科技,中国农业大学,植物基因组编辑技术用于提高作物抗逆性和生产力，推动可持续农业。,中国国家自然科学基金,https://www.nsfc.gov.cn/,2024-09-22,,,,
合成DNA合成器,合成生物学,基因合成,科研、医药,实验室应用,成熟,快速合成复杂DNA序列,开发高通量DNA合成器以精确合成各类DNA,生物技术,企业主导、学术研究,生物技术产业,斯坦福大学,合成DNA合成器为基因工程和合成生物学提供新工具，加速科研进展。,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-22,,,,
合成代谢网络,微生物工程,代谢工程,制药、食品,工业化生产,发展中,优化代谢通路,设计合成代谢网络以提高目标产物合成效率,制药、食品,企业主导、科研支持,生物制造业,加州大学伯克利分校,合成代谢网络利用改造微生物实现高效生物合成，推动制药和食品工业。,美国化学学会,https://www.acs.org/,2024-09-22,,,,
合成抗体技术,治疗法,特异性治疗,医疗,临床试验,前沿,开发针对特定疾病的生物制剂,利用重组技术合成高特异性抗体,医药,制药公司与学术机构,生物制药,约翰霍普金斯大学,合成抗体技术为癌症和自身免疫疾病提供新型治疗选择。,国际生物制药期刊,https://www.biopharmadealmakers.com/,2024-09-22,,,,
合成基因存储,比喻技术,数据储存,信息技术、生物研究,数据存储应用,初步研究,利用DNA存储信息,通过合成DNA实现数据的高效存储,信息技术,学术与企业合作,信息存储,哈佛大学,合成基因存储利用DNA分子实现高密度存储信息，展望数据存储的未来。,MIT科技评论,https://www.technologyreview.com/,2024-09-22,,,,
草莓与麦草的基因组交叉,植物基因组学,植物育种,农业,实验室研究,领先,杂交新品种栽培,通过基因组交叉改良草莓和麦草的抗病性,农业,校企合作,农业科技,东京大学,基因组交叉技术致力于开发抗病性强的草莓新品种，提升农业产量。,东京农业科学研究所,https://www.kaiseki-kai.org/,2024-09-22,,,,
合成微生物药物,合成生物学,药物研发,制药产业,集中生产,持续进展,新型药物研发,合成微生物用于生产新型生物药物,制药,企业主导、科研支持,生物制药,加州理工学院,合成微生物药物研究为制药产业提供新机遇，助力新药发现。,其他生物制药平台,https://www.biopharma-reporter.com/,2024-09-22,,,,
合成材料开发,生物塑料,可持续材料,消费品、包装行业,工业化生产,发展中,生产环保材料,利用微生物生产生物降解塑料,材料科学,企业与政府合作,材料制造业,瑞典皇家理工学院,合成材料开发推动生物塑料实现大规模应用，摆脱对石油基材料的依赖。,环境科学与技术期刊,https://pubs.acs.org/journal/esthag,2024-09-22,,,,
监测环境DNA技术,生态学,生态监测,环境科学,现场研究,各国探讨中,评估生物多样性,利用环境DNA样本监测生态变化,生态保护,国际合作,环保科技,剑桥大学,利用环境DNA技术评估生态系统健康，助力环境保护和生物多样性维护。,生态学前沿,https://www.frontiersin.org/journals/ecology,2024-09-22,,,,
