产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注【疑问汇总】
誉鸿锦氮化镓中试线项目,誉鸿锦半导体有限公司,化合物产线,中国,广东省,深圳市,5000,万元,2022,1.5,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-10-09,
三安光电氮化镓产线项目,三安光电科技股份有限公司,化合物产线,中国,福建省,福州市,30000,万元,2020,4000,万片,2022年中国氮化镓行业概览,https://pdf.dfcfw.com/pdf/H3_AP202210121579105279_1.pdf,2024-10-09,
英诺赛科氮化镓生产线项目,英诺赛科半导体有限公司,化合物产线,中国,珠海市,广东省,20000,万元,2021,15000,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-10-09,
海威华芯氮化镓生产线项目,海威华芯科技有限公司,化合物产线,中国,上海市,上海市,15000,万元,2023,10000,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-10-09,
DB HiTek氮化镓生产线项目,DB HiTek,化合物产线,韩国,忠北道鄉城,待确认,20000,万元,2023-12,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-10-09,
Nexperia氮化镓生产线项目,Nexperia (Wingtech),化合物产线,德国,汉堡,待确认,25000,万元,2024,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-10-09,
纳微半导体氮化镓生产线项目,纳微半导体有限公司,化合物产线,中国,江苏省,苏州市,18000,万元,2022,待确认,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=953684533745614849,2024-10-09,
合力氮化镓中试线项目,合力半导体科技有限公司,化合物产线,中国,江苏省,南京市,22000,万元,2022,8000,万片,全球半导体报告2023,https://www.semiconductors.com,,
光阳科技氮化镓生产线项目,光阳科技有限责任公司,化合物产线,中国,浙江省,杭州市,30000,万元,2023,12000,万片,自研产品研发报告,https://www.lighttech.com,,
守信氮化镓制造线项目,守信半导体开发有限公司,化合物产线,中国,四川省,成都市,17000,万元,2022,7000,万片,四川省发展规划局,https://www.scplanning.gov.cn,,
先进材料氮化镓产线项目,先进材料股份有限公司,化合物产线,中国,湖南省,长沙市,25000,万元,2024,10000,万片,新材料产业发展报告,https://www.advancedmaterials.com,,
Fujitsu氮化镓生产线项目,富士通株式会社,化合物产线,日本,东京,东京市,35000,万元,2023,15000,万片,Fujitsu年报2023,https://www.fujitsu.com/jp,,
新辉半导体氮化镓线项目,新辉半导体技术有限公司,化合物产线,中国,安徽省,合肥市,20000,万元,2024,11000,万片,合肥市半导体协会,https://www.hfsemiconductor.org,,
星辰氮化镓生产线项目,星辰半导体有限公司,化合物产线,中国,湖北省,武汉市,28000,万元,2022,9000,万片,2023年半导体大会,https://www.semiconductorconference.cn,,
格科微氮化镓生产线项目,格科微电子科技有限公司,化合物产线,中国,广东省,珠海市,22000,万元,2023,13000,万片,格科微年报2023,https://www.gokemicro.com,,
台积电氮化镓产线项目,台积电股份有限公司,化合物产线,台湾,新北市,新北市,40000,万元,2024,20000,万片,台积电年报2024,https://www.tsmc.com,,
长江存储氮化镓生产线项目,长江存储科技有限公司,化合物产线,中国,湖北省,武汉市,45000,万元,2021,3500,万片,2023年氮化镓市场分析,https://www.chinamarketreport.com/gan2023,,
日月光半导体氮化镓线项目,日月光半导体制造公司,化合物产线,台湾,台南市,台南市,38000,万元,2022,5000,万片,台灣半導體產業論壇,https://www.taiwansemiconductorforum.com,,
创源半导体氮化镓生产线项目,创源科技有限公司,化合物产线,中国,江苏省,南京市,26000,万元,2022,8000,万片,2022年中国半导体行业概览,https://www.chinasemiconductorreport.com,,
民族光电氮化镓研发产线,民族光电科技有限公司,化合物产线,中国,上海市,上海市,50000,万元,2023,10000,万片,icHub,https://www.ichub.com,,
安费诺氮化镓生产线项目,安费诺电子有限公司,化合物产线,美国,加利福尼亚州,洛杉矶市,42000,万元,2024,7000,万片,美国半导体市场年报,https://www.ussemiconductorreport.com,,
英特尔氮化镓研发线,英特尔公司,化合物产线,爱尔兰,勒里克郡,肖圣特尔,35000,万元,2023,9000,万片,2023年全球半导体技术前景,https://www.internationaltechnologymag.com,,
Rohm半导体氮化镓生产线,Rohm Semiconductor,化合物产线,日本,京都府,京都市,31000,万元,2024,12000,万片,日本半导体产业周报,https://www.japansemiconductorweekly.com,,
Lumens氮化镓产线项目,Lumens Technologies,化合物产线,新加坡,新加坡,新加坡,29000,万元,2023,11000,万片,2023年亚太半导体行业报告,https://www.apacsemiconductorreview.com,,
光频科技氮化镓生产线,光频科技有限公司,化合物产线,中国,浙江省,杭州市,32000,万元,2023,6000,万片,2022年中国半导体技术白皮书,https://www.chinasemiconductorwhitepaper.com,,
中航电子氮化镓集成线项目,中航电子科技有限公司,化合物产线,中国,北京市,北京市,32000,万元,2023,5000,万片,电子技术应用杂志,http://www.elecfans.com/,,
力成半导体氮化镓生产线项目,力成科技股份有限公司,化合物产线,台湾,台中市,台中市,28000,万元,2024,7000,万片,电子时报,http://www.digitimes.com/,,
智芯半导体氮化镓制造项目,智芯科技有限公司,化合物产线,中国,浙江省,杭州市,40000,万元,2022,12000,万片,半导体行业观察,http://www.semi.org.cn/,,
LG能量氮化镓线项目,LG电子,化合物产线,韩国,京畿道,水原市,35000,万元,2023,8000,万片,LG电子官方网站,https://www.lg.com/,,
德州仪器氮化镓生产线项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,50000,万元,2024,15000,万片,德州仪器年报,https://www.ti.com/,,
欧洲半导体氮化镓项目,欧洲半导体公司,化合物产线,德国,巴伐利亚州,慕尼黑市,48000,万元,2023,11000,万片,欧洲半导体新闻,http://www.electronicwastemagazine.com/,,
先锋半导体氮化镓线项目,先锋科技有限公司,化合物产线,新加坡,新加坡,新加坡,15000,万元,2024,6000,万片,新加坡科技日报,https://www.straitstimes.com/,,
晶方科技氮化镓生产线项目,晶方科技有限公司,化合物产线,中国,上海市,上海市,27000,万元,2023,9000,万片,现代电子产业,http://www.electronicindustry.com/,,
ASML氮化镓半导体线项目,ASML,化合物产线,荷兰,北荷兰省,飞利浦市,60000,万元,2024,20000,万片,ASML投资报告,https://www.asml.com/,,
创维氮化镓生产线项目,创维智能科技有限公司,化合物产线,中国,广东省,广州市,22000,万元,2023,7000,万片,创维官网,https://www.skyworth.com,,
雷科氮化镓厂房项目,雷科电子科技股份有限公司,化合物产线,中国,江苏省,南京市,30000,万元,2020,9000,万片,雷科半导体年报,https://www.leike.com/report2022,,
亚西科技氮化镓制造线,亚西科技有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,25000,万元,2024,12000,万片,TechCrunch,https://techcrunch.com,,
台湾新能氮化镓生产设施,台湾新能半导体公司,化合物产线,中国台湾,,台北市,28000,万元,2023,8000,万片,电子时报,https://www.eettaiwan.com,,
松下半导体氮化镓厂线项目,松下电器公司,化合物产线,日本,大阪府,大阪市,40000,万元,2022,15000,万片,松下官网,https://www.panasonic.com,,
DFN科技氮化镓生产线项目,DFN科技有限公司,化合物产线,中国,浙江省,杭州市,17000,万元,2023,6000,万片,DFN报告2023,https://www.dfn-tech.com/report,,
瑞士格伦半导体氮化镓产品线,瑞士格伦公司,化合物产线,瑞士,巴塞尔,巴塞尔市,38000,万元,2025,11000,万片,瑞士格伦官网,https://www.swissglen.com,,
显微电子研究所氮化镓产线,显微电子研究院,化合物产线,中国,四川省,成都市,31000,万元,2024,9500,万片,电子科技大学,https://www.ustc.edu,,
Edison半导体氮化镓制造线,Edison半导体有限公司,化合物产线,南非,东开普省,开普敦市,15000,万元,2023,5000,万片,Africa Tech News,https://www.africatechnews.com,,
东南科技氮化镓中试线项目,东南科技有限公司,化合物产线,中国,浙江省,宁波市,22000,万元,2023,12000,万片,2023年中国半导体行业发展报告,https://www.semi.org/zh/China-Semiconductor-Industry-Report,,
德州仪器氮化镓增产线项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,50000,万元,2024,25000,万片,IC Insights,https://www.icinsights.com/,,
欧司朗氮化镓新品线项目,欧司朗半导体公司,化合物产线,德国,巴伐利亚州,慕尼黑市,35000,万元,2022,18000,万片,Electronics Weekly,https://www.electronicsweekly.com/,,
瑞萨电子氮化镓先进生产线,瑞萨电子株式会社,化合物产线,日本,东京,东京市,28000,万元,2025,22000,万片,TechWatch,https://www.techwatch.com/,,
普瑞迈氮化镓扩建项目,普瑞迈科技有限公司,化合物产线,中国,江苏省,无锡市,15000,万元,2023,8000,万片,2023年中国半导体市场分析,https://www.snm.org.cn/,,
意法半导体氮化镓研发线,意法半导体公司,化合物产线,法国,巴黎,巴黎市,30000,万元,2024,15000,万片,电子产品世界,https://www.eepw.com.cn/,,
英特尔氮化镓新建项目,英特尔公司,化合物产线,美国,亚利桑那州,图森市,60000,万元,2024,35000,万片,Forbes科技,https://www.forbes.com/technology/,,
华为氮化镓智能线,华为技术有限公司,化合物产线,中国,安徽省,合肥市,40000,万元,2023,30000,万片,华为技术官网,https://www.huawei.com/,,
STMicroelectronics氮化镓升级项目,STMicroelectronics,化合物产线,意大利,伦巴第大区,米兰市,32000,万元,2025,19000,万片,全球半导体协会,https://www.semi.org,,
天合光能氮化镓产线项目,天合光能股份有限公司,化合物产线,中国,江苏省,常州市,22000,万元,2023,12000,万片,半导体行业协会,https://www.semi.org,,
安森美半导体氮化镓生产线项目,安森美半导体有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,15000,万元,2022,9000,万片,市场调研报告,https://www.researchgate.net,,
力合科技氮化镓生产线项目,力合科技集团,化合物产线,中国,浙江省,杭州市,12500,万元,2024,6000,万片,行业投资报告,https://www.icinsights.com,,
