受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）.1,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
晋网信备14010678901234567890号,Algorand,企业级区块链,功能测试,企业级区块链,2023-06-25,西安杨森制药有限公司,苏州金斯瑞生物科技有限公司,正在办理,2023-07-10,待审查,Algorand Foundation,快速验证,20230110.0,供应链,供应链管理,企业级区块链,V1.0,少量能耗、高效率,中国区块链产业发展促进会,http://www.blockchainindustry.org,2024-09-28,
鄂网信备42010698765432123456号,NEO,公有区块链,功能性测试,公有区块链,2023-07-15,北京康捷医药科技有限公司,四川兴药制药有限公司,正在办理,2023-07-30,待审查,Neo Foundation,智能合约平台,20230112.0,物联网,物联网,公有区块链,V1.0,兼容性、灵活性,国际技术标准组织,http://www.iso.org,2024-09-28,
苏网信备32010612345678910020号,Algorand,公有区块链,性能测试,公有区块链,2023-06-15,南京信达生物药业股份有限公司,深圳生物制药有限公司,正在办理,2023-06-20,待审查,Algorand Foundation,治愈性协议,20230106.0,物流,供应链管理,公有区块链,V1.0,高效、低延迟,国际区块链协会,https://www.ibc.org,2024-09-28,
京网信备11010523291234560018号,Fantom,公有区块链,性能测试,公有区块链,2023-11-01,杭州制药科技股份有限公司,南京惠恒药业有限公司,正在办理,2023-11-05,待审查,Fantom Foundation,DAG,20230113.0,物流,即时交付,公有区块链,V1.0,高效率、低成本,区块链发展委员会,http://www.cbta.org.cn,2024-09-28,
粤网信备44010623608432120020号,Algorand,公有区块链,安全审计,公有区块链,2023-06-01,江苏恒瑞医药股份有限公司,华药制药有限公司,正在办理,2023-06-15,待审查,Algorand Foundation,高效算法,20230108.0,电子商务,在线支付,公有区块链,V1.0,高可用性、低延迟,链科技信息网,http://www.bdedc.cn,2024-09-28,
苏网信备32010640198217760011号,Algorand,公有区块链,功能测试,公有区块链,2023-09-10,天仁药品研发中心,华夏生物科技有限公司,正在办理,2023-09-15,待审查,Algorand Foundation,高效共识机制,20230109.0,物联网,设备连接,公有区块链,V1.0,快速确认、隐私保护,中国科学院信息研究所,http://www.cbarc.cn,2024-09-28,
辽网信备21010376398160020013号,Waves,公有区块链,系统审计,公有区块链,2023-08-12,宏伟药业(集团)公司,华海药业股份有限公司,正在办理,2023-09-01,待审查,Waves Enterprise,多元化平台,20230113.0,绿色技术,生态监测,公有区块链,V1.0,灵活性、兼容性,区块链技术协作组,http://www.cbarc.cn,2024-09-28,
吉网信备22020234567891230006号,VeChain,企业级区块链,性能测试,企业级区块链,2023-11-15,上海华康制药有限公司,成都中药产业发展有限公司,已完成,2023-11-20,合格,VeChain Foundation,区块链管理平台,20230113.0,供应链,物流跟踪,企业级区块链,V1.0,透明性、可追踪性,供应链数字化研究中心,http://www.sc.org.cn,2024-09-28,
京网信备11010523289512340015号,EOS,公有区块链,功能测试,公有区块链,2023-09-10,上海辉瑞制药有限公司,成都倍特药业股份有限公司,已完成,2023-09-15,合格,Block.one,去中心化平台,20230109.0,多媒体,内容发布,公有区块链,V1.0,高效能、高可用性,中国文化和旅游部,http://www.sc.org.cn,2024-09-28,
苏网信备32010345603146870016号,,,,,,四川科伦药业股份有限公司,安徽新安药业股份有限公司,,,,,,,,,,,,,,,
